,test,total_time,alg_time
0,test29,0.6493499279022217,0.6396193504333496
1,test30,0.6669137477874756,0.6566667556762695
2,test12,0.6565241813659668,0.645970344543457
3,test18,1.1127727031707764,1.0934998989105225
4,test24,0.6515781879425049,0.6415398120880127
5,test10,0.6877989768981934,0.6773433685302734
6,test19,0.9176135063171388,0.9045116901397704
7,test15,0.6679127216339111,0.6575765609741211
8,test8,0.7018580436706543,0.6914656162261963
9,test7,0.6753697395324707,0.6638975143432617
10,test25,0.6657769680023193,0.6551594734191895
11,test3,0.6619210243225098,0.6518232822418213
12,test11,0.6845128536224365,0.6742422580718994
13,test2,0.6938393115997314,0.6836330890655518
14,test4,0.7170517444610596,0.7060472965240479
15,test28,0.6518635749816895,0.6411733627319336
16,test20,0.6670753955841064,0.6562943458557129
17,test9,0.6783068180084229,0.6677844524383545
18,test23,0.657712459564209,0.6463899612426758
19,test5,0.6836214065551758,0.6715545654296875
20,test26,0.6470787525177002,0.6370375156402588
21,test17,0.7760589122772217,0.7617647647857666
22,test27,0.647672176361084,0.6370818614959717
23,test13,0.6751308441162109,0.6648991107940674
24,test6,0.8284718990325928,0.8168187141418457
25,test1,0.6806802749633789,0.6704311370849609
26,test16,0.7014057636260986,0.6905131340026855
27,test21,0.6635732650756836,0.652353048324585
28,test22,0.678185224533081,0.6663811206817627
29,test14,0.6632628440856934,0.6532886028289795
