	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	0	1166
2	60	12	27	1166
3	90	43	136	1079
4	120	79	253	956
5	150	105	347	863
6	180	116	411	825
7	210	117	423	834
8	240	119	428	864
9	270	119	432	899
10	300	119	432	927
11	330	119	434	959
12	360	119	436	975
13	390	119	437	1015
14	420	119	437	1051
15	450	122	440	1081
16	480	239	457	983
17	510	376	513	818
18	540	456	570	716
19	570	504	603	645
20	600	515	519	637
21	630	516	400	652
22	660	516	305	672
23	690	516	232	695
24	720	516	214	710
25	750	516	212	735
26	780	516	208	762
27	810	516	209	798
28	840	516	211	826
29	870	520	210	855
30	900	619	221	770
31	930	768	244	618
32	960	847	267	524
33	990	872	273	505
34	1020	876	223	513
35	1050	876	171	535
36	1080	876	128	555
37	1110	876	108	568
38	1140	876	99	582
39	1170	876	99	596
40	1200	876	100	616
41	1230	876	100	631
42	1260	876	100	644
43	1290	878	101	656
44	1320	959	106	597
45	1350	1074	123	479
46	1380	1124	133	431
47	1410	1149	131	425
48	1440	1157	107	430
