	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.005891842147156866	-0.0045872602410457364	-0.01726531668507318	0.005891842147156866	-0.0045872602410457364	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.022051543069377	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5070298769771528	0.0	0.0	1.0	0.0	0.0
1	30	2411.0396322784763	0.0	5.0	14.0	41.19186152636036	522.1711638024002	1888.8684684760792	0.7492032267377551	0.0	0.005486595763288204	-0.0097260257469959	-0.01947446448782013	0.005486595763288204	-0.0097260257469959	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.00360655451509	0.15000000000000324	0.29000000000000314	0.7000000000000122	0.5	1.0	0.0	0.9243197278911565	0.5025510204081632	0.02976190476190476	0.0	0.038077410983875	0.6899853446041903	0.2719372444119361
2	60	2343.854811173691	0.0	5.0	14.0	67.75298710593398	508.0174274779784	1835.8373836957112	0.7475332208027871	0.0	0.0022063363386785524	-0.013544270796385609	-0.018016336710808985	0.0022063363386785524	-0.013544270796385609	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.8949385060054	0.15000000000000324	0.2900000000000032	0.7000000000000123	0.5	1.0	0.0	0.573728813559322	0.48983050847457626	0.2771186440677966	0.0	0.29994853357478285	0.46456691895387825	0.23548454747133898
3	90	2278.2714716176138	0.0	5.0	14.0	92.22169552434445	494.34141307344083	1783.9300585441747	0.7458393046559629	0.0	0.0021915820923743444	-0.007701745016538723	-0.02143096692980958	0.0021915820923743444	-0.007701745016538723	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.88745049430396	0.150000000000003	0.2900000000000014	0.7000000000000088	0.5	1.0	0.0	0.5580524344569289	0.4307116104868914	0.38764044943820225	0.0	0.25128176725222345	0.5303492905138909	0.21836894223388614
4	120	2240.3934682770187	0.0	5.0	14.0	117.1596878070125	486.76795329632535	1753.6255149806905	0.7438822152560964	0.0	-0.003054738660271454	-0.008602776323146955	-0.019075431472440247	-0.003054738660271454	-0.008602776323146955	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.95486311180143	0.15000000000000255	0.28999999999999815	0.7000000000000026	0.5	1.0	0.0	0.0	0.34978070175438597	0.39144736842105265	0.0	0.4435764575449854	0.39131345927362443	0.16511008318138962
5	150	2182.633649862548	0.0	5.0	14.0	138.7888167041211	475.05266447411606	1707.5809853884293	0.7415684245161721	0.0	-0.0062158641236108175	-0.004223225863252798	-0.010024517036163532	-0.0062158641236108175	-0.004223225863252798	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.87941816466468	0.15000000000000213	0.289999999999998	0.6999999999999966	0.5	1.0	0.0	0.0	0.2746566791510612	0.28214731585518105	0.0	0.6473131946356809	0.24739347779558146	0.1052933275687383
6	180	2142.00244644743	0.0	5.0	14.0	160.3861648564123	467.0667953604562	1674.9356510869754	0.7392967836733565	0.0	-0.006725188737478619	-0.01557237544405826	-0.002761605654352769	-0.006725188737478619	-0.01557237544405826	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	184.27518239009484	0.15000000000000197	0.28999999999999826	0.6999999999999944	0.5	1.0	0.0	0.0	0.22193211488250653	0.08093994778067885	0.0	0.8084866467079038	0.13408445899101953	0.05742889430107663
7	210	2121.1680220650605	0.0	5.0	14.0	181.7784531436254	463.24507744819135	1657.9229446168692	0.7379716391378385	0.0	-0.008803231752697751	-0.015316312742885805	-0.0008491936473841709	-0.008803231752697751	-0.015316312742885805	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.91457710391308	0.150000000000002	0.2899999999999982	0.6999999999999948	0.5	1.0	0.0	0.0	0.2095730918499353	0.018111254851228976	0.0	0.9068164703763607	0.0651694222770204	0.028014107346618286
8	240	2089.880601623919	0.0	5.0	14.0	199.97347488054777	457.0721642497526	1632.8084373741656	0.7368891189267981	0.0	-0.0044496369985708405	-0.015203449630278086	0.000490443067183576	-0.0044496369985708405	-0.015203449630278086	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.70499029396817	0.1500000000000021	0.28999999999999804	0.6999999999999963	0.5	1.0	0.0	0.0	0.2050314465408805	0.006289308176100629	0.0	0.957686267675533	0.02957046401982509	0.012743268304641057
9	270	2072.358802518789	0.0	5.0	14.0	218.5606182742143	453.879985946359	1618.4788165724303	0.736157475379466	0.0	-0.0015216304595874353	-0.007011241564524874	0.0005950828613270427	-0.0015216304595874353	-0.007011241564524874	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.9381659548385	0.1500000000000022	0.28999999999999787	0.6999999999999976	0.5	1.0	0.0	0.0	0.20318237454100369	0.0036719706242350062	0.0	0.9812905015459457	0.013071110744817448	0.0056383877092372105
10	300	2049.744110968545	0.0	5.0	14.0	235.85730134525073	449.55846546332754	1600.1856455052152	0.7349932408148295	0.0	-0.011308334125804512	-0.0073987149456072425	0.0018987378443366704	-0.011308334125804512	-0.0073987149456072425	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	303.86477027335064	0.15000000000000227	0.2899999999999977	0.699999999999999	0.5	1.0	0.0	0.0	0.20238095238095238	0.0	0.0	0.9918797668652388	0.005673119750272562	0.0024471133844883694
11	330	2045.676806958564	0.0	5.0	14.0	254.41410829068283	449.20382308685	1596.4729838717215	0.7345320148394416	0.0	-0.012745445500794645	-0.014812245718636659	0.005579106327560241	-0.012745445500794645	-0.014812245718636659	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	334.2871581110415	0.15000000000000235	0.28999999999999754	0.7	0.5	1.0	0.0	0.0	0.20232558139534884	0.0	0.0	0.9964668511445884	0.002468327865921484	0.001064820989492124
12	360	2006.4417435149926	0.0	5.0	14.0	262.8253750612774	441.1071083860578	1565.3346351289376	0.7337716986071036	0.0	-0.008039983801483313	-0.017237347017022613	0.000836481267298965	-0.008039983801483313	-0.017237347017022613	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	363.75202776089645	0.1500000000000025	0.28999999999999776	0.7000000000000018	0.5	1.0	0.0	0.0	0.2028985507246377	0.0	0.0	0.9984876166025493	0.0010561936250262582	0.0004561897724253955
13	390	2002.2650952995243	0.0	5.0	14.0	279.1386557328352	440.7358085644898	1561.5292867350317	0.7327611850702684	0.0	-0.0057561676970839725	-0.01452687169636532	0.004796348341705518	-0.0057561676970839725	-0.01452687169636532	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	394.166043356163	0.15000000000000258	0.28999999999999837	0.7000000000000031	0.5	1.0	0.0	0.0	0.20304017372421282	0.0	0.0	0.9993469663464885	0.0004562490934115174	0.00019678456009985178
14	420	2009.2395586212872	0.0	5.0	14.0	296.9168797342378	442.708692174571	1566.5308664467173	0.7324146993903068	0.0	-0.006381348465710859	-0.015067331649275945	0.004554364329886587	-0.006381348465710859	-0.015067331649275945	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	423.83530235489974	0.15000000000000263	0.2899999999999988	0.700000000000004	0.5	1.0	0.0	0.0	0.20297555791710944	0.0	0.0	0.999715663180471	0.00019865306668357747	8.568375284506422e-05
