	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1161	0
2	60	14	1163	20
3	90	60	1053	130
4	120	94	902	286
5	150	119	811	374
6	180	141	734	443
7	210	164	680	487
8	240	179	647	522
9	270	196	620	548
10	300	215	588	569
11	330	229	575	588
12	360	242	576	594
13	390	255	569	608
14	420	272	563	617
15	450	283	566	622
16	480	306	561	626
17	510	323	557	629
18	540	339	573	633
19	570	354	576	625
20	600	370	579	533
21	630	385	585	384
22	660	399	584	281
23	690	413	587	209
24	720	429	595	160
25	750	446	593	128
26	780	460	586	103
27	810	476	577	83
28	840	488	578	73
29	870	501	588	65
30	900	519	587	55
31	930	534	589	52
32	960	549	597	49
33	990	566	597	47
34	1020	587	583	48
35	1050	598	590	48
36	1080	609	597	44
37	1110	623	604	45
38	1140	641	600	46
39	1170	658	603	45
40	1200	672	608	45
41	1230	695	605	47
42	1260	707	612	48
43	1290	721	621	45
44	1320	747	611	49
45	1350	762	622	47
46	1380	778	621	51
47	1410	798	620	51
48	1440	811	633	46
