	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1164	0	1
2	60	1155	15	25
3	90	1037	49	147
4	120	919	73	272
5	150	815	92	383
6	180	754	117	449
7	210	717	138	492
8	240	671	167	530
9	270	656	188	551
10	300	633	210	573
11	330	636	227	587
12	360	630	248	602
13	390	639	254	611
14	420	650	266	614
15	450	654	286	619
16	480	661	303	622
17	510	655	326	626
18	540	661	350	626
19	570	666	362	616
20	600	686	371	520
21	630	695	388	393
22	660	705	404	280
23	690	709	421	204
24	720	715	442	157
25	750	705	469	130
26	780	714	491	106
27	810	716	502	91
28	840	711	523	82
29	870	719	544	67
30	900	720	560	57
31	930	712	581	58
32	960	721	598	53
33	990	712	618	57
34	1020	723	633	55
35	1050	723	647	54
36	1080	733	661	53
37	1110	733	685	52
38	1140	724	716	54
39	1170	729	737	53
40	1200	719	760	56
41	1230	722	779	57
42	1260	736	793	53
43	1290	735	816	52
44	1320	723	845	49
45	1350	725	864	46
46	1380	720	882	50
47	1410	722	898	51
48	1440	722	915	52
