	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1171
2	60	23	18	1166
3	90	134	58	1042
4	120	262	96	915
5	150	356	127	813
6	180	424	147	745
7	210	455	155	726
8	240	463	156	741
9	270	465	156	762
10	300	467	156	788
11	330	467	156	820
12	360	471	156	847
13	390	473	156	880
14	420	475	156	912
15	450	480	156	930
16	480	482	156	968
17	510	483	156	989
18	540	483	157	1029
19	570	472	198	1013
20	600	407	340	872
21	630	328	457	724
22	660	262	535	636
23	690	217	586	581
24	720	195	599	576
25	750	190	602	590
26	780	188	602	614
27	810	188	602	644
28	840	190	602	667
29	870	188	602	689
30	900	186	602	715
31	930	184	602	743
32	960	180	602	771
33	990	179	602	793
34	1020	179	602	815
35	1050	180	602	840
36	1080	179	619	852
37	1110	165	748	741
38	1140	141	885	598
39	1170	114	964	525
40	1200	106	1012	474
41	1230	91	1024	474
42	1260	87	1029	484
43	1290	89	1030	500
44	1320	88	1030	514
45	1350	88	1030	531
46	1380	87	1030	556
47	1410	88	1030	569
48	1440	89	1030	587
