	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	0	1180	0
2	60	25	1175	15
3	90	128	1078	50
4	120	262	949	85
5	150	379	838	111
6	180	451	773	129
7	210	507	718	152
8	240	539	681	187
9	270	565	668	203
10	300	587	654	224
11	330	599	656	241
12	360	614	622	270
13	390	630	614	288
14	420	641	605	304
15	450	647	598	321
16	480	651	599	338
17	510	657	582	361
18	540	660	580	380
19	570	648	576	397
20	600	568	582	414
21	630	437	583	430
22	660	308	581	445
23	690	237	590	458
24	720	182	585	477
25	750	151	584	491
26	780	129	584	505
27	810	106	586	520
28	840	97	565	548
29	870	88	561	561
30	900	78	562	576
31	930	63	568	589
32	960	57	563	613
33	990	57	568	624
34	1020	51	563	645
35	1050	50	561	659
36	1080	47	570	674
37	1110	42	572	687
38	1140	45	575	702
39	1170	45	581	720
40	1200	46	576	741
41	1230	47	575	758
42	1260	44	587	764
43	1290	42	599	774
44	1320	42	598	788
45	1350	44	591	810
46	1380	43	594	829
47	1410	41	599	838
48	1440	40	605	860
