	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1178	1	1
2	60	1178	18	10
3	90	1075	128	39
4	120	961	249	68
5	150	838	363	95
6	180	772	440	120
7	210	759	467	125
8	240	775	478	127
9	270	800	480	127
10	300	830	480	127
11	330	856	481	127
12	360	879	482	127
13	390	903	483	127
14	420	938	484	127
15	450	966	486	127
16	480	997	490	127
17	510	1030	493	127
18	540	1052	496	127
19	570	1082	487	127
20	600	1120	399	127
21	630	1065	278	204
22	660	870	203	393
23	690	706	195	508
24	720	617	194	591
25	750	570	210	640
26	780	550	228	654
27	810	557	237	655
28	840	575	239	655
29	870	601	242	655
30	900	622	243	655
31	930	634	250	655
32	960	656	248	655
33	990	679	244	655
34	1020	702	243	655
35	1050	730	241	655
36	1080	752	240	655
37	1110	774	241	655
38	1140	802	237	655
39	1170	821	201	655
40	1200	819	135	681
41	1230	672	107	837
42	1260	565	94	951
43	1290	486	91	1025
44	1320	459	83	1061
45	1350	457	90	1067
46	1380	470	87	1068
47	1410	482	86	1068
48	1440	499	77	1068
