	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1171
2	60	8	16	1178
3	90	55	133	1052
4	120	84	300	871
5	150	101	389	789
6	180	105	428	779
7	210	105	436	793
8	240	105	438	813
9	270	105	441	842
10	300	105	448	865
11	330	105	450	892
12	360	105	450	912
13	390	105	452	942
14	420	105	453	968
15	450	105	453	994
16	480	122	455	1009
17	510	276	481	859
18	540	440	542	653
19	570	500	579	574
20	600	511	511	546
21	630	516	370	549
22	660	516	254	559
23	690	516	206	582
24	720	516	196	605
25	750	516	194	616
26	780	516	192	634
27	810	516	186	656
28	840	516	183	679
29	870	516	184	693
30	900	516	184	708
31	930	563	186	686
32	960	708	205	550
33	990	804	234	438
34	1020	840	230	403
35	1050	844	185	409
36	1080	844	133	417
37	1110	844	91	437
38	1140	844	83	452
39	1170	844	80	467
40	1200	844	80	488
41	1230	844	81	498
42	1260	844	82	506
43	1290	844	84	529
44	1320	844	85	547
45	1350	848	87	566
46	1380	916	91	510
47	1410	1035	103	390
48	1440	1086	111	344
