	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1177	5	0
2	60	1176	30	14
3	90	1070	137	48
4	120	940	261	78
5	150	835	363	105
6	180	775	429	127
7	210	767	467	130
8	240	787	472	130
9	270	809	475	131
10	300	778	491	178
11	330	700	526	248
12	360	646	559	281
13	390	610	585	317
14	420	600	605	330
15	450	610	607	330
16	480	623	611	330
17	510	638	612	331
18	540	602	610	380
19	570	543	611	441
20	600	493	524	493
21	630	475	408	520
22	660	469	304	534
23	690	483	229	538
24	720	494	190	538
25	750	501	182	546
26	780	463	181	593
27	810	432	176	639
28	840	400	148	675
29	870	395	116	700
30	900	392	90	710
31	930	413	71	711
32	960	422	66	711
33	990	428	63	720
34	1020	402	67	752
35	1050	376	67	790
36	1080	349	62	825
37	1110	335	56	842
38	1140	341	52	845
39	1170	350	49	845
40	1200	366	47	845
41	1230	368	45	853
42	1260	352	49	881
43	1290	325	53	911
44	1320	317	54	930
45	1350	311	49	942
46	1380	316	47	946
47	1410	322	47	948
48	1440	325	45	948
