	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1194	0	0
2	60	1190	20	14
3	90	1088	129	46
4	120	953	262	72
5	150	848	371	95
6	180	793	448	102
7	210	788	469	105
8	240	818	472	107
9	270	842	473	107
10	300	852	475	107
11	330	848	480	127
12	360	750	508	236
13	390	672	557	300
14	420	601	600	342
15	450	585	623	357
16	480	597	630	357
17	510	617	632	357
18	540	643	634	357
19	570	671	623	357
20	600	683	531	362
21	630	621	402	432
22	660	539	314	509
23	690	489	239	560
24	720	467	225	584
25	750	470	225	590
26	780	482	224	592
27	810	500	222	592
28	840	510	217	592
29	870	520	201	593
30	900	511	154	614
31	930	437	118	697
32	960	408	95	732
33	990	399	89	750
34	1020	409	87	755
35	1050	425	86	759
36	1080	437	87	759
37	1110	450	87	759
38	1140	457	81	759
39	1170	470	62	768
40	1200	416	48	833
41	1230	381	39	877
42	1260	360	46	901
43	1290	355	46	913
44	1320	365	48	917
45	1350	371	48	917
46	1380	380	47	917
47	1410	394	45	917
48	1440	404	37	920
