	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	9	1158
2	60	18	42	1146
3	90	57	147	1031
4	120	88	298	877
5	150	117	381	795
6	180	127	426	768
7	210	127	436	779
8	240	127	443	803
9	270	127	446	839
10	300	127	447	867
11	330	127	448	902
12	360	127	452	939
13	390	127	454	973
14	420	127	456	1002
15	450	127	456	1026
16	480	127	459	1054
17	510	127	462	1079
18	540	127	456	1104
19	570	127	437	1140
20	600	127	342	1169
21	630	127	199	1195
22	660	127	104	1230
23	690	142	48	1261
24	720	320	58	1095
25	750	533	127	846
26	780	647	216	671
27	810	694	245	608
28	840	697	256	614
29	870	697	253	636
30	900	698	252	652
31	930	699	250	677
32	960	699	250	704
33	990	699	248	736
34	1020	699	246	756
35	1050	699	244	781
36	1080	699	243	816
37	1110	699	241	842
38	1140	699	241	866
39	1170	699	241	905
40	1200	699	242	922
41	1230	699	230	957
42	1260	699	154	986
43	1290	699	68	1012
44	1320	699	29	1041
45	1350	760	21	1026
46	1380	961	44	828
47	1410	1132	91	637
48	1440	1216	116	549
