	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1187	0	1
2	60	1176	10	29
3	90	1084	48	118
4	120	942	85	248
5	150	843	119	342
6	180	759	138	432
7	210	752	144	462
8	240	764	144	474
9	270	798	144	480
10	300	824	144	481
11	330	846	144	481
12	360	875	144	483
13	390	915	144	484
14	420	939	144	485
15	450	966	144	487
16	480	990	144	489
17	510	1033	144	490
18	540	1070	144	489
19	570	1098	144	475
20	600	1099	172	394
21	630	942	335	303
22	660	756	488	256
23	690	637	592	207
24	720	558	660	201
25	750	536	684	200
26	780	549	687	199
27	810	571	688	201
28	840	584	688	201
29	870	599	688	201
30	900	622	688	202
31	930	638	688	201
32	960	661	688	199
33	990	680	688	198
34	1020	704	688	196
35	1050	722	688	199
36	1080	744	688	199
37	1110	767	688	200
38	1140	790	688	183
39	1170	731	757	137
40	1200	592	894	109
41	1230	500	977	96
42	1260	454	1026	96
43	1290	433	1053	97
44	1320	431	1061	102
45	1350	453	1063	103
46	1380	469	1063	103
47	1410	483	1063	102
48	1440	506	1063	101
