	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	3	1169
2	60	9	34	1165
3	90	38	143	1070
4	120	70	270	937
5	150	95	360	850
6	180	116	427	793
7	210	140	476	750
8	240	155	509	714
9	270	171	538	692
10	300	190	561	676
11	330	201	575	673
12	360	217	590	669
13	390	232	601	659
14	420	247	611	656
15	450	264	615	648
16	480	286	618	639
17	510	309	620	630
18	540	317	621	639
19	570	335	606	638
20	600	352	522	642
21	630	371	385	638
22	660	393	295	625
23	690	405	226	619
24	720	418	175	633
25	750	432	142	649
26	780	448	117	651
27	810	462	94	659
28	840	477	84	657
29	870	489	70	668
30	900	498	62	682
31	930	513	57	686
32	960	532	57	689
33	990	546	56	701
34	1020	558	54	705
35	1050	575	54	704
36	1080	593	52	709
37	1110	618	49	701
38	1140	633	50	715
39	1170	650	51	724
40	1200	660	48	737
41	1230	671	52	742
42	1260	693	52	739
43	1290	704	48	757
44	1320	718	47	765
45	1350	736	48	767
46	1380	758	50	760
47	1410	777	53	774
48	1440	797	52	776
