	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1172	4	0
2	60	1172	28	14
3	90	1072	140	42
4	120	937	268	83
5	150	841	373	107
6	180	762	452	129
7	210	743	486	135
8	240	752	499	135
9	270	771	500	135
10	300	800	503	135
11	330	827	505	135
12	360	852	505	135
13	390	877	506	135
14	420	906	507	135
15	450	921	511	135
16	480	942	512	135
17	510	980	514	135
18	540	1009	511	135
19	570	1032	499	135
20	600	1063	411	135
21	630	1021	289	204
22	660	834	216	375
23	690	681	185	505
24	720	587	181	582
25	750	544	188	627
26	780	535	201	636
27	810	553	201	636
28	840	569	200	637
29	870	588	199	637
30	900	611	198	637
31	930	621	198	637
32	960	645	195	637
33	990	663	194	637
34	1020	683	192	637
35	1050	694	193	637
36	1080	722	190	637
37	1110	760	188	637
38	1140	779	182	637
39	1170	799	145	637
40	1200	784	99	675
41	1230	682	63	794
42	1260	565	62	906
43	1290	503	68	962
44	1320	464	80	1004
45	1350	458	83	1017
46	1380	469	85	1019
47	1410	482	86	1020
48	1440	492	86	1020
