	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1174
2	60	20	11	1179
3	90	112	48	1093
4	120	230	80	969
5	150	328	107	866
6	180	397	133	796
7	210	448	164	741
8	240	482	179	718
9	270	507	202	687
10	300	532	220	669
11	330	548	237	658
12	360	557	254	655
13	390	568	278	647
14	420	574	299	640
15	450	582	326	636
16	480	586	343	639
17	510	593	366	639
18	540	592	381	645
19	570	581	405	647
20	600	518	415	653
21	630	388	440	647
22	660	297	464	635
23	690	223	485	642
24	720	172	499	656
25	750	141	519	656
26	780	116	534	661
27	810	97	556	650
28	840	85	581	637
29	870	81	603	633
30	900	71	622	633
31	930	66	642	627
32	960	65	661	620
33	990	63	665	630
34	1020	64	687	620
35	1050	66	706	624
36	1080	65	720	625
37	1110	62	740	633
38	1140	63	759	631
39	1170	64	789	628
40	1200	67	806	627
41	1230	65	837	612
42	1260	66	858	609
43	1290	65	877	623
44	1320	67	889	631
45	1350	63	907	630
46	1380	61	927	621
47	1410	64	942	625
48	1440	64	953	633
