	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1158
2	60	9	36	1145
3	90	40	109	1071
4	120	63	217	973
5	150	91	349	838
6	180	111	417	783
7	210	119	465	751
8	240	123	476	759
9	270	155	489	742
10	300	204	517	696
11	330	239	547	648
12	360	271	577	602
13	390	283	592	592
14	420	287	597	608
15	450	295	600	616
16	480	335	605	593
17	510	378	614	555
18	540	408	630	523
19	570	428	613	506
20	600	437	561	509
21	630	441	464	521
22	660	450	323	529
23	690	484	259	503
24	720	522	207	472
25	750	552	199	440
26	780	568	195	436
27	810	575	169	445
28	840	575	144	454
29	870	584	116	451
30	900	622	100	419
31	930	643	107	401
32	960	666	105	381
33	990	690	101	371
34	1020	697	95	375
35	1050	698	84	389
36	1080	706	68	388
37	1110	743	61	366
38	1140	757	62	364
39	1170	774	61	360
40	1200	786	64	356
41	1230	788	56	364
42	1260	788	51	377
43	1290	802	48	377
44	1320	826	48	365
45	1350	853	51	344
46	1380	867	51	342
47	1410	883	50	331
48	1440	884	38	336
