	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1172	1
2	60	15	1172	25
3	90	68	1025	147
4	120	98	864	307
5	150	112	796	390
6	180	113	800	417
7	210	113	823	423
8	240	113	846	425
9	270	113	876	426
10	300	113	897	429
11	330	113	920	433
12	360	113	948	434
13	390	113	977	435
14	420	113	1016	435
15	450	119	1037	438
16	480	242	925	457
17	510	406	726	519
18	540	470	623	584
19	570	475	618	593
20	600	476	633	497
21	630	476	644	339
22	660	476	664	232
23	690	476	682	202
24	720	476	709	192
25	750	476	731	193
26	780	476	748	190
27	810	476	767	189
28	840	476	784	190
29	870	503	775	191
30	900	634	662	205
31	930	739	545	240
32	960	775	507	256
33	990	781	510	251
34	1020	781	534	196
35	1050	781	557	126
36	1080	781	570	101
37	1110	781	588	98
38	1140	781	606	92
39	1170	781	620	95
40	1200	781	633	95
41	1230	781	654	97
42	1260	782	683	97
43	1290	849	643	100
44	1320	990	501	117
45	1350	1046	448	129
46	1380	1059	450	135
47	1410	1059	462	129
48	1440	1059	476	95
