	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1165	2	2
2	60	1161	20	25
3	90	1051	46	136
4	120	878	77	311
5	150	774	93	422
6	180	745	95	472
7	210	754	97	481
8	240	789	97	482
9	270	806	97	485
10	300	827	97	486
11	330	856	97	490
12	360	883	97	490
13	390	899	97	490
14	420	905	117	491
15	450	767	248	520
16	480	626	371	569
17	510	543	427	615
18	540	530	441	632
19	570	533	444	627
20	600	553	444	538
21	630	569	444	375
22	660	591	444	243
23	690	606	444	185
24	720	624	444	173
25	750	649	444	170
26	780	671	444	170
27	810	661	475	170
28	840	532	612	183
29	870	432	705	202
30	900	399	735	216
31	930	402	737	216
32	960	417	738	198
33	990	435	738	152
34	1020	446	738	102
35	1050	466	738	79
36	1080	481	738	66
37	1110	497	738	65
38	1140	509	738	67
39	1170	521	743	64
40	1200	463	817	64
41	1230	381	903	72
42	1260	334	948	84
43	1290	327	962	90
44	1320	337	962	89
45	1350	354	962	78
46	1380	367	962	57
47	1410	380	962	45
48	1440	386	962	42
