	time	tnf
0	0	0.0
1	30	5215.68413460289
2	60	2284.499215244318
3	90	1000.0922617151258
4	120	437.35309178037653
5	150	191.05843158817024
6	180	83.38650877785591
7	210	36.36395530809519
8	240	15.848279734226494
9	270	6.904317762128612
10	300	3.0071738567999517
11	330	6208.1145707235955
12	360	4074.26048916437
13	390	1784.6090273281295
14	420	781.3450530812087
15	450	341.87653150898933
16	480	149.47600624894523
17	510	65.30595464835615
18	540	28.514436500302892
19	570	12.4443280515054
20	600	5.429382729382147
21	630	2.368285773453728
22	660	6603.521884248327
23	690	3180.6427036178848
24	720	1393.0810213111045
25	750	609.8979351611156
26	780	266.8809293780271
27	810	116.71264284168906
28	840	51.010965952559076
29	870	22.28428452716937
30	900	9.731643790327354
31	930	4.248880955233011
32	960	1.8547717998205238
33	990	5667.8481796863525
34	1020	2482.9377890219534
35	1050	1087.4018395729852
36	1080	476.06647499227086
37	1110	208.33369967632999
38	1140	91.12464581927333
39	1170	39.83917841377852
40	1200	17.411046939427223
41	1230	7.607297682011426
42	1260	3.323247927065815
43	1290	5959.828331723506
44	1320	4424.828305575169
45	1350	1938.2478524294183
46	1380	848.8062541624032
47	1410	371.6137879266496
48	1440	162.6364606044242
