	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1181
2	60	16	27	1163
3	90	46	143	1056
4	120	88	278	911
5	150	125	368	813
6	180	147	447	736
7	210	161	495	700
8	240	183	524	673
9	270	206	546	641
10	300	225	568	626
11	330	246	580	617
12	360	262	598	607
13	390	271	606	611
14	420	290	614	604
15	450	306	618	605
16	480	317	630	605
17	510	330	634	609
18	540	346	641	602
19	570	364	631	596
20	600	379	536	605
21	630	395	402	594
22	660	417	303	594
23	690	436	230	587
24	720	460	172	575
25	750	482	144	564
26	780	501	127	569
27	810	518	108	572
28	840	531	101	578
29	870	546	88	586
30	900	562	81	581
31	930	579	74	580
32	960	600	69	576
33	990	628	62	567
34	1020	647	58	564
35	1050	662	54	561
36	1080	675	51	557
37	1110	690	52	560
38	1140	707	51	555
39	1170	727	50	554
40	1200	749	53	539
41	1230	768	56	530
42	1260	786	54	529
43	1290	808	51	530
44	1320	820	47	543
45	1350	835	44	544
46	1380	858	41	539
47	1410	870	42	535
48	1440	882	41	539
