	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	4	1175
2	60	17	28	1180
3	90	53	124	1080
4	120	88	240	953
5	150	116	355	845
6	180	144	410	777
7	210	148	435	767
8	240	149	444	780
9	270	149	446	799
10	300	149	447	823
11	330	149	449	849
12	360	149	451	870
13	390	149	451	893
14	420	149	451	916
15	450	149	457	945
16	480	161	460	964
17	510	268	476	864
18	540	373	534	720
19	570	474	558	593
20	600	520	497	553
21	630	534	409	532
22	660	538	288	538
23	690	538	227	550
24	720	538	193	574
25	750	538	182	599
26	780	538	181	625
27	810	538	179	646
28	840	538	182	672
29	870	538	179	691
30	900	538	178	710
31	930	554	178	712
32	960	665	181	618
33	990	765	195	516
34	1020	817	212	459
35	1050	851	172	431
36	1080	865	132	431
37	1110	867	112	448
38	1140	868	85	463
39	1170	868	81	477
40	1200	868	80	485
41	1230	868	82	501
42	1260	868	83	515
43	1290	868	84	527
44	1320	868	84	540
45	1350	868	83	553
46	1380	893	86	549
47	1410	991	99	454
48	1440	1069	113	373
