	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	5	1160	0
2	60	30	1161	10
3	90	142	1067	41
4	120	261	943	69
5	150	361	833	108
6	180	432	758	133
7	210	497	701	152
8	240	532	668	179
9	270	563	642	198
10	300	584	627	216
11	330	600	612	233
12	360	621	591	251
13	390	635	583	263
14	420	648	565	284
15	450	652	566	297
16	480	660	557	308
17	510	663	554	324
18	540	662	554	346
19	570	645	554	358
20	600	561	556	371
21	630	432	557	382
22	660	328	562	397
23	690	258	566	412
24	720	201	564	424
25	750	163	558	444
26	780	132	556	462
27	810	115	550	482
28	840	98	564	495
29	870	80	561	509
30	900	72	574	520
31	930	63	576	537
32	960	59	578	553
33	990	52	590	566
34	1020	48	596	581
35	1050	44	605	595
36	1080	44	603	614
37	1110	44	607	636
38	1140	44	608	652
39	1170	43	608	668
40	1200	43	605	690
41	1230	42	613	702
42	1260	40	614	721
43	1290	38	624	736
44	1320	38	610	759
45	1350	48	601	776
46	1380	48	590	798
47	1410	48	579	820
48	1440	46	580	848
