	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1178	1	0
2	60	1160	12	31
3	90	1052	46	135
4	120	918	78	267
5	150	824	99	370
6	180	748	120	445
7	210	731	129	486
8	240	764	130	497
9	270	783	130	506
10	300	809	130	508
11	330	842	130	510
12	360	873	130	511
13	390	899	130	512
14	420	938	130	514
15	450	968	130	516
16	480	1000	130	516
17	510	1032	130	517
18	540	1058	130	518
19	570	1086	130	502
20	600	1099	135	416
21	630	1077	202	295
22	660	886	391	226
23	690	722	529	193
24	720	609	612	191
25	750	558	652	203
26	780	540	666	215
27	810	552	666	216
28	840	563	666	220
29	870	582	666	218
30	900	601	666	219
31	930	621	666	218
32	960	642	666	218
33	990	661	666	218
34	1020	696	666	217
35	1050	716	666	218
36	1080	738	666	216
37	1110	765	666	214
38	1140	786	666	212
39	1170	807	667	179
40	1200	800	698	133
41	1230	677	826	91
42	1260	566	934	92
43	1290	498	1006	78
44	1320	475	1040	81
45	1350	468	1057	81
46	1380	477	1059	82
47	1410	485	1059	82
48	1440	500	1059	83
