	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1173	0	2
2	60	1166	19	23
3	90	1068	45	124
4	120	923	72	265
5	150	818	88	378
6	180	787	96	426
7	210	806	97	433
8	240	828	97	438
9	270	846	97	440
10	300	873	97	441
11	330	898	97	441
12	360	917	97	442
13	390	948	97	443
14	420	906	158	450
15	450	748	305	491
16	480	620	395	555
17	510	575	430	587
18	540	568	442	604
19	570	582	443	595
20	600	596	443	506
21	630	613	443	372
22	660	635	443	252
23	690	655	443	193
24	720	684	443	181
25	750	705	443	176
26	780	695	477	176
27	810	582	596	190
28	840	502	676	215
29	870	460	712	235
30	900	467	725	236
31	930	484	726	236
32	960	503	728	201
33	990	512	728	141
34	1020	524	728	102
35	1050	541	728	84
36	1080	560	728	78
37	1110	577	728	80
38	1140	566	757	81
39	1170	470	854	88
40	1200	398	928	100
41	1230	365	966	114
42	1260	373	975	119
43	1290	376	978	120
44	1320	394	978	104
45	1350	417	978	83
46	1380	430	978	66
47	1410	439	978	58
48	1440	456	978	56
