	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1173	2
2	60	14	1173	32
3	90	41	1085	138
4	120	75	958	267
5	150	101	860	358
6	180	127	781	438
7	210	135	755	477
8	240	137	774	483
9	270	137	806	487
10	300	153	813	490
11	330	222	741	509
12	360	293	652	554
13	390	341	601	577
14	420	372	568	602
15	450	381	559	618
16	480	385	573	623
17	510	385	595	624
18	540	386	625	623
19	570	412	613	610
20	600	472	561	526
21	630	523	507	422
22	660	559	482	320
23	690	581	463	245
24	720	588	469	202
25	750	588	484	195
26	780	589	507	192
27	810	598	518	191
28	840	648	482	180
29	870	695	449	139
30	900	717	427	126
31	930	750	401	103
32	960	760	398	94
33	990	763	409	87
34	1020	763	420	86
35	1050	765	434	86
36	1080	787	423	85
37	1110	821	397	74
38	1140	868	361	58
39	1170	888	348	59
40	1200	906	336	55
41	1230	908	341	50
42	1260	909	353	51
43	1290	909	369	51
44	1320	912	376	50
45	1350	948	347	54
46	1380	977	319	56
47	1410	1006	297	55
48	1440	1019	294	51
