	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1195	2	0
2	60	1194	26	15
3	90	1069	147	59
4	120	925	288	95
5	150	819	395	124
6	180	776	450	136
7	210	794	463	139
8	240	813	464	139
9	270	843	467	139
10	300	872	468	139
11	330	892	468	139
12	360	917	470	139
13	390	947	472	139
14	420	978	473	139
15	450	1006	476	139
16	480	1040	477	139
17	510	1082	477	139
18	540	1105	480	146
19	570	1017	479	245
20	600	824	441	402
21	630	669	366	516
22	660	605	301	560
23	690	596	245	575
24	720	605	234	577
25	750	618	235	577
26	780	640	234	577
27	810	666	231	577
28	840	688	231	577
29	870	707	231	577
30	900	728	232	577
31	930	750	231	577
32	960	773	230	577
33	990	803	229	577
34	1020	833	229	577
35	1050	848	225	583
36	1080	752	229	686
37	1110	612	206	809
38	1140	525	156	893
39	1170	485	121	937
40	1200	483	107	949
41	1230	490	107	950
42	1260	501	105	951
43	1290	516	105	951
44	1320	528	108	951
45	1350	538	108	951
46	1380	561	108	951
47	1410	583	108	951
48	1440	601	107	951
