	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1175	1
2	60	9	1168	25
3	90	39	1072	121
4	120	73	940	247
5	150	107	820	358
6	180	138	730	438
7	210	167	656	498
8	240	185	628	526
9	270	204	597	560
10	300	218	590	574
11	330	230	586	592
12	360	241	581	607
13	390	257	576	618
14	420	273	566	626
15	450	284	566	630
16	480	296	572	634
17	510	305	585	635
18	540	317	593	635
19	570	330	593	628
20	600	339	603	553
21	630	347	608	418
22	660	361	609	325
23	690	377	609	233
24	720	394	610	176
25	750	413	604	146
26	780	425	606	115
27	810	448	606	102
28	840	471	599	87
29	870	489	595	74
30	900	504	604	64
31	930	520	600	54
32	960	534	611	54
33	990	554	619	51
34	1020	561	633	50
35	1050	575	638	52
36	1080	591	641	49
37	1110	611	641	48
38	1140	625	648	48
39	1170	639	648	47
40	1200	662	644	42
41	1230	687	637	42
42	1260	708	629	42
43	1290	717	627	39
44	1320	734	623	44
45	1350	742	633	45
46	1380	763	634	46
47	1410	778	636	48
48	1440	786	645	47
