	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1169
2	60	14	34	1161
3	90	51	157	1037
4	120	87	277	915
5	150	116	370	823
6	180	139	434	748
7	210	162	481	706
8	240	180	513	682
9	270	203	547	658
10	300	217	579	640
11	330	236	596	624
12	360	258	613	599
13	390	270	621	593
14	420	287	633	591
15	450	295	639	599
16	480	314	642	599
17	510	327	644	602
18	540	346	644	609
19	570	370	634	596
20	600	384	527	612
21	630	406	401	609
22	660	425	309	603
23	690	438	242	600
24	720	456	200	599
25	750	473	166	603
26	780	489	135	604
27	810	506	102	608
28	840	526	89	616
29	870	547	74	613
30	900	578	68	597
31	930	596	57	595
32	960	609	55	597
33	990	623	51	602
34	1020	651	51	581
35	1050	660	50	587
36	1080	681	47	585
37	1110	693	49	587
38	1140	704	45	593
39	1170	715	49	588
40	1200	729	47	588
41	1230	751	45	587
42	1260	767	44	595
43	1290	788	45	584
44	1320	806	44	589
45	1350	823	43	593
46	1380	832	44	596
47	1410	850	40	602
48	1440	863	39	608
