	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1181
2	60	28	15	1171
3	90	151	51	1047
4	120	330	78	869
5	150	431	83	783
6	180	462	84	782
7	210	470	84	798
8	240	474	85	830
9	270	475	85	856
10	300	478	85	882
11	330	479	85	904
12	360	484	85	925
13	390	487	85	955
14	420	487	85	978
15	450	488	94	1001
16	480	501	203	909
17	510	571	383	692
18	540	614	470	592
19	570	627	474	583
20	600	518	475	598
21	630	349	476	618
22	660	227	476	639
23	690	189	476	656
24	720	179	476	677
25	750	176	476	705
26	780	177	476	727
27	810	174	476	751
28	840	174	476	765
29	870	172	498	760
30	900	193	634	625
31	930	220	748	511
32	960	233	788	470
33	990	230	793	480
34	1020	178	793	490
35	1050	123	793	503
36	1080	89	793	514
37	1110	82	793	541
38	1140	83	793	557
39	1170	83	793	581
40	1200	81	793	593
41	1230	83	793	614
42	1260	82	794	634
43	1290	83	860	593
44	1320	93	974	483
45	1350	106	1027	430
46	1380	110	1043	417
47	1410	98	1046	422
48	1440	70	1046	429
