	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	1	1171
2	60	15	29	1167
3	90	41	121	1077
4	120	70	240	957
5	150	100	344	852
6	180	124	425	776
7	210	132	454	772
8	240	132	471	791
9	270	132	478	808
10	300	132	479	842
11	330	132	480	865
12	360	132	484	884
13	390	132	487	916
14	420	132	490	935
15	450	132	495	960
16	480	132	498	979
17	510	132	503	1008
18	540	132	503	1054
19	570	132	488	1096
20	600	165	420	1084
21	630	337	338	909
22	660	472	278	740
23	690	562	239	620
24	720	607	244	554
25	750	629	243	537
26	780	634	234	544
27	810	637	233	556
28	840	637	233	561
29	870	637	230	581
30	900	637	227	600
31	930	637	228	607
32	960	637	226	624
33	990	637	220	648
34	1020	637	216	671
35	1050	637	216	698
36	1080	637	216	722
37	1110	637	217	747
38	1140	644	191	767
39	1170	738	147	695
40	1200	871	107	563
41	1230	940	85	501
42	1260	992	76	463
43	1290	1005	80	456
44	1320	1008	87	459
45	1350	1008	87	475
46	1380	1008	88	495
47	1410	1008	88	512
48	1440	1008	86	529
