	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	1	1178
2	60	28	15	1183
3	90	140	47	1074
4	120	265	90	944
5	150	358	130	833
6	180	435	153	766
7	210	465	157	763
8	240	476	161	768
9	270	490	197	736
10	300	529	253	673
11	330	559	297	622
12	360	591	334	572
13	390	605	356	553
14	420	611	359	557
15	450	614	363	570
16	480	622	402	543
17	510	631	442	511
18	540	642	475	483
19	570	636	495	468
20	600	545	506	468
21	630	422	507	486
22	660	323	513	495
23	690	248	541	489
24	720	213	572	469
25	750	205	594	460
26	780	197	612	455
27	810	169	621	455
28	840	136	622	467
29	870	100	626	477
30	900	91	663	448
31	930	87	696	424
32	960	85	722	409
33	990	85	736	401
34	1020	79	738	408
35	1050	68	738	423
36	1080	61	747	426
37	1110	58	771	418
38	1140	61	801	407
39	1170	65	826	397
40	1200	65	841	390
41	1230	56	845	395
42	1260	53	845	401
43	1290	52	856	407
44	1320	52	884	390
45	1350	56	914	364
46	1380	62	929	355
47	1410	60	934	360
48	1440	55	938	367
