	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1172
2	60	21	15	1168
3	90	126	52	1052
4	120	259	72	938
5	150	363	99	841
6	180	437	124	773
7	210	505	151	706
8	240	538	171	673
9	270	566	187	661
10	300	593	208	640
11	330	609	222	630
12	360	622	236	626
13	390	636	255	616
14	420	642	267	633
15	450	646	282	627
16	480	652	300	623
17	510	663	315	617
18	540	669	329	620
19	570	660	344	625
20	600	579	360	632
21	630	455	383	622
22	660	337	395	628
23	690	265	412	628
24	720	198	428	620
25	750	156	440	620
26	780	136	449	636
27	810	112	464	636
28	840	98	482	632
29	870	87	498	634
30	900	75	521	627
31	930	66	529	640
32	960	71	552	634
33	990	67	567	635
34	1020	57	589	624
35	1050	53	607	632
36	1080	48	620	642
37	1110	47	642	642
38	1140	48	664	641
39	1170	49	680	644
40	1200	49	694	652
41	1230	48	710	658
42	1260	46	720	670
43	1290	46	740	673
44	1320	45	756	686
45	1350	44	772	695
46	1380	45	788	692
47	1410	46	806	685
48	1440	48	822	682
