	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	1	1166
2	60	20	8	1190
3	90	124	32	1096
4	120	252	79	961
5	150	339	115	857
6	180	406	135	796
7	210	434	142	795
8	240	440	144	811
9	270	441	144	843
10	300	447	153	866
11	330	462	217	808
12	360	508	278	722
13	390	550	335	641
14	420	574	375	599
15	450	586	391	595
16	480	589	394	616
17	510	593	396	625
18	540	592	398	639
19	570	585	419	633
20	600	508	481	585
21	630	391	529	540
22	660	304	561	511
23	690	237	583	509
24	720	211	590	510
25	750	206	591	526
26	780	205	591	537
27	810	202	594	564
28	840	187	626	548
29	870	157	679	504
30	900	115	719	480
31	930	101	737	468
32	960	87	749	479
33	990	87	750	486
34	1020	85	751	501
35	1050	84	751	521
36	1080	85	761	528
37	1110	79	815	489
38	1140	69	846	469
39	1170	67	882	438
40	1200	67	911	417
41	1230	62	922	418
42	1260	61	922	427
43	1290	59	922	445
44	1320	60	923	458
45	1350	59	948	450
46	1380	59	1000	399
47	1410	60	1043	359
48	1440	58	1071	330
