	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1180	0	1
2	60	1183	17	27
3	90	1087	46	126
4	120	944	86	256
5	150	839	125	347
6	180	773	145	416
7	210	754	156	446
8	240	768	156	454
9	270	792	156	454
10	300	793	170	456
11	330	735	234	466
12	360	665	301	493
13	390	606	333	529
14	420	561	378	545
15	450	556	390	558
16	480	568	390	562
17	510	581	390	564
18	540	597	392	563
19	570	587	414	549
20	600	551	461	474
21	630	497	520	351
22	660	468	554	269
23	690	464	571	191
24	720	470	577	160
25	750	484	577	146
26	780	503	577	146
27	810	505	585	144
28	840	469	629	145
29	870	431	677	128
30	900	424	698	93
31	930	411	714	78
32	960	418	721	64
33	990	431	722	62
34	1020	452	722	61
35	1050	467	723	62
36	1080	455	744	60
37	1110	419	788	59
38	1140	393	819	59
39	1170	369	849	55
40	1200	356	863	58
41	1230	359	866	57
42	1260	371	867	57
43	1290	379	867	59
44	1320	387	870	59
45	1350	354	911	54
46	1380	334	941	53
47	1410	329	958	49
48	1440	313	985	42
