	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	0	1174
2	60	28	26	1158
3	90	155	58	1026
4	120	288	82	894
5	150	383	98	805
6	180	413	100	798
7	210	424	100	810
8	240	426	100	827
9	270	429	100	857
10	300	433	100	888
11	330	433	100	910
12	360	434	100	935
13	390	434	100	964
14	420	436	100	982
15	450	438	100	1008
16	480	441	100	1033
17	510	444	100	1057
18	540	441	100	1079
19	570	432	101	1120
20	600	332	169	1082
21	630	228	398	838
22	660	201	530	658
23	690	204	576	591
24	720	202	579	599
25	750	199	580	627
26	780	198	580	659
27	810	193	580	680
28	840	193	580	705
29	870	195	580	728
30	900	198	580	743
31	930	196	580	769
32	960	197	580	788
33	990	194	580	817
34	1020	195	580	830
35	1050	194	580	860
36	1080	192	580	888
37	1110	190	580	917
38	1140	152	609	925
39	1170	106	790	756
40	1200	118	947	557
41	1230	125	991	506
42	1260	133	999	503
43	1290	135	999	524
44	1320	134	999	542
45	1350	134	999	556
46	1380	132	999	571
47	1410	130	999	592
48	1440	132	999	611
