	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	1	1175	0
2	60	26	1172	9
3	90	131	1070	43
4	120	255	950	77
5	150	361	850	108
6	180	422	794	125
7	210	457	780	129
8	240	465	788	129
9	270	467	824	129
10	300	470	841	129
11	330	471	868	129
12	360	472	895	129
13	390	472	918	129
14	420	473	947	129
15	450	473	974	129
16	480	475	1008	129
17	510	476	1047	129
18	540	475	1075	129
19	570	465	1115	129
20	600	379	1098	177
21	630	299	896	368
22	660	244	743	497
23	690	217	646	572
24	720	204	588	617
25	750	202	575	632
26	780	203	596	633
27	810	201	611	633
28	840	204	630	633
29	870	203	653	633
30	900	203	676	633
31	930	203	691	633
32	960	203	733	633
33	990	202	759	633
34	1020	202	781	633
35	1050	202	814	633
36	1080	201	832	633
37	1110	199	859	633
38	1140	165	871	643
39	1170	115	760	765
40	1200	91	624	912
41	1230	81	541	1004
42	1260	96	489	1044
43	1290	97	485	1058
44	1320	98	497	1058
45	1350	96	517	1058
46	1380	97	541	1058
47	1410	97	562	1058
48	1440	97	579	1058
