	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1180	1	1
2	60	1164	13	34
3	90	1065	50	139
4	120	940	83	259
5	150	849	114	352
6	180	782	130	429
7	210	772	134	458
8	240	795	135	465
9	270	823	135	473
10	300	855	135	473
11	330	883	135	474
12	360	904	135	475
13	390	938	135	476
14	420	961	135	476
15	450	1009	135	476
16	480	1042	135	477
17	510	1068	135	481
18	540	1103	135	480
19	570	1132	135	464
20	600	1175	135	368
21	630	1215	138	251
22	660	1127	244	174
23	690	907	468	123
24	720	750	593	137
25	750	641	673	181
26	780	599	709	202
27	810	598	720	218
28	840	617	723	221
29	870	640	723	221
30	900	660	723	220
31	930	684	723	222
32	960	703	723	225
33	990	730	723	225
34	1020	747	723	225
35	1050	781	723	223
36	1080	811	723	220
37	1110	832	723	221
38	1140	865	723	224
39	1170	888	723	214
40	1200	914	723	184
41	1230	942	728	129
42	1260	877	822	80
43	1290	686	1024	68
44	1320	580	1127	67
45	1350	515	1200	78
46	1380	492	1227	87
47	1410	499	1236	91
48	1440	510	1237	92
