	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1175	0	2
2	60	1174	16	27
3	90	1093	51	115
4	120	971	84	234
5	150	862	118	332
6	180	778	147	413
7	210	727	170	469
8	240	680	199	506
9	270	646	223	538
10	300	621	249	551
11	330	606	267	566
12	360	618	275	578
13	390	624	290	585
14	420	629	308	588
15	450	632	325	595
16	480	636	339	598
17	510	641	356	600
18	540	637	378	604
19	570	638	397	595
20	600	640	411	514
21	630	648	429	392
22	660	647	443	297
23	690	657	448	214
24	720	668	464	160
25	750	661	481	120
26	780	663	498	93
27	810	661	517	81
28	840	663	531	68
29	870	663	548	63
30	900	669	561	54
31	930	666	574	56
32	960	669	588	48
33	990	672	606	46
34	1020	672	620	48
35	1050	684	638	44
36	1080	687	656	42
37	1110	699	674	43
38	1140	696	696	46
39	1170	692	709	44
40	1200	702	723	45
41	1230	703	735	48
42	1260	690	756	50
43	1290	687	771	50
44	1320	686	789	48
45	1350	693	807	46
46	1380	703	817	42
47	1410	700	830	46
48	1440	688	855	45
