	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1159
2	60	13	39	1145
3	90	53	132	1041
4	120	77	241	936
5	150	107	338	834
6	180	130	397	776
7	210	160	455	722
8	240	181	494	676
9	270	203	528	638
10	300	223	555	613
11	330	245	569	599
12	360	262	579	591
13	390	277	593	587
14	420	295	596	598
15	450	312	604	588
16	480	328	608	589
17	510	345	615	575
18	540	356	614	582
19	570	369	593	585
20	600	384	514	585
21	630	400	402	588
22	660	416	305	591
23	690	427	245	595
24	720	445	186	601
25	750	456	157	608
26	780	473	119	604
27	810	491	94	607
28	840	503	87	610
29	870	519	77	616
30	900	543	65	613
31	930	557	61	618
32	960	568	59	620
33	990	584	55	618
34	1020	610	54	605
35	1050	624	53	611
36	1080	645	53	607
37	1110	662	56	614
38	1140	682	52	606
39	1170	699	50	608
40	1200	718	52	599
41	1230	736	50	590
42	1260	762	51	592
43	1290	777	47	591
44	1320	793	46	583
45	1350	812	42	587
46	1380	824	40	597
47	1410	838	42	598
48	1440	853	44	588
