	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1161	2
2	60	10	1169	20
3	90	51	1049	133
4	120	88	914	269
5	150	120	809	368
6	180	147	712	467
7	210	174	641	531
8	240	188	612	562
9	270	206	593	583
10	300	219	583	603
11	330	230	577	614
12	360	242	593	619
13	390	259	593	627
14	420	277	588	633
15	450	290	588	636
16	480	301	592	641
17	510	316	593	644
18	540	330	593	647
19	570	342	597	639
20	600	362	590	546
21	630	378	588	410
22	660	393	592	303
23	690	399	611	216
24	720	410	620	143
25	750	429	621	111
26	780	444	621	91
27	810	455	629	76
28	840	471	629	63
29	870	487	626	60
30	900	494	634	55
31	930	511	632	55
32	960	523	636	54
33	990	534	641	52
34	1020	543	653	50
35	1050	561	653	48
36	1080	582	648	50
37	1110	597	659	50
38	1140	609	665	49
39	1170	628	660	52
40	1200	642	661	51
41	1230	653	670	47
42	1260	663	671	48
43	1290	684	677	45
44	1320	695	681	46
45	1350	707	699	49
46	1380	714	718	47
47	1410	731	723	48
48	1440	745	730	42
