	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1165
2	60	34	16	1158
3	90	134	51	1060
4	120	253	84	944
5	150	344	122	839
6	180	439	148	748
7	210	476	152	732
8	240	489	152	750
9	270	489	153	774
10	300	494	153	795
11	330	494	153	829
12	360	497	153	859
13	390	497	153	882
14	420	501	153	895
15	450	501	153	928
16	480	502	153	958
17	510	505	153	988
18	540	505	153	1028
19	570	482	153	1056
20	600	406	153	1094
21	630	282	190	1088
22	660	227	362	915
23	690	171	535	714
24	720	166	623	609
25	750	171	679	557
26	780	188	698	540
27	810	191	701	563
28	840	190	701	580
29	870	188	701	606
30	900	191	701	622
31	930	188	701	646
32	960	188	701	660
33	990	187	701	688
34	1020	185	701	706
35	1050	186	701	724
36	1080	183	701	750
37	1110	182	701	767
38	1140	183	701	796
39	1170	164	701	812
40	1200	110	703	843
41	1230	73	776	787
42	1260	69	928	645
43	1290	65	1034	536
44	1320	75	1110	461
45	1350	73	1144	440
46	1380	79	1150	445
47	1410	77	1151	454
48	1440	77	1151	464
