	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1178	3	0
2	60	1182	23	15
3	90	1081	127	49
4	120	947	249	92
5	150	851	339	119
6	180	783	410	145
7	210	765	446	147
8	240	779	452	149
9	270	776	458	179
10	300	711	498	236
11	330	646	544	275
12	360	608	570	309
13	390	598	589	321
14	420	603	600	323
15	450	620	601	327
16	480	596	607	362
17	510	571	617	400
18	540	549	626	432
19	570	523	623	458
20	600	529	540	470
21	630	543	421	474
22	660	556	318	480
23	690	522	248	524
24	720	488	215	567
25	750	468	211	595
26	780	465	210	614
27	810	478	179	618
28	840	490	132	619
29	870	495	103	630
30	900	478	87	659
31	930	448	80	700
32	960	420	79	736
33	990	423	80	749
34	1020	429	70	753
35	1050	440	61	753
36	1080	443	56	762
37	1110	406	50	805
38	1140	401	51	824
39	1170	382	54	848
40	1200	380	56	857
41	1230	392	50	861
42	1260	403	44	862
43	1290	408	43	877
44	1320	394	43	902
45	1350	369	48	932
46	1380	351	55	955
47	1410	354	54	963
48	1440	366	51	964
