	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1170	2
2	60	18	1145	33
3	90	54	1044	132
4	120	83	931	245
5	150	119	815	344
6	180	133	754	415
7	210	136	750	442
8	240	136	763	451
9	270	136	777	461
10	300	136	800	463
11	330	136	824	463
12	360	136	844	463
13	390	136	865	464
14	420	136	888	465
15	450	136	916	467
16	480	138	941	469
17	510	204	910	475
18	540	351	755	508
19	570	452	637	530
20	600	517	554	483
21	630	536	528	391
22	660	540	534	300
23	690	540	546	218
24	720	540	565	185
25	750	540	581	179
26	780	540	595	168
27	810	540	618	167
28	840	540	643	167
29	870	540	666	169
30	900	540	692	169
31	930	541	712	167
32	960	598	681	168
33	990	722	566	179
34	1020	801	476	193
35	1050	851	432	179
36	1080	867	414	139
37	1110	871	426	106
38	1140	871	441	88
39	1170	871	457	75
40	1200	871	466	72
41	1230	871	480	71
42	1260	871	496	72
43	1290	871	517	70
44	1320	871	532	70
45	1350	871	552	70
46	1380	873	565	68
47	1410	913	543	70
48	1440	991	465	81
