	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1176	1
2	60	36	1166	15
3	90	145	1056	48
4	120	281	910	80
5	150	381	821	100
6	180	450	754	125
7	210	488	720	151
8	240	544	654	177
9	270	583	602	207
10	300	608	575	226
11	330	621	572	244
12	360	631	549	268
13	390	644	534	281
14	420	664	513	300
15	450	671	510	313
16	480	674	511	330
17	510	678	499	350
18	540	682	497	365
19	570	664	496	379
20	600	576	498	387
21	630	434	490	402
22	660	331	486	418
23	690	253	489	429
24	720	212	491	441
25	750	163	484	461
26	780	133	482	475
27	810	107	464	502
28	840	90	469	513
29	870	79	473	526
30	900	74	467	538
31	930	53	458	558
32	960	47	462	573
33	990	44	468	586
34	1020	42	473	593
35	1050	37	478	602
36	1080	34	470	615
37	1110	35	457	634
38	1140	35	458	642
39	1170	35	461	656
40	1200	35	449	685
41	1230	38	452	696
42	1260	39	454	711
43	1290	36	465	720
44	1320	32	472	735
45	1350	35	464	755
46	1380	35	467	773
47	1410	37	463	783
48	1440	39	472	798
