	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1169
2	60	13	25	1170
3	90	50	128	1060
4	120	87	251	929
5	150	119	357	819
6	180	132	430	755
7	210	135	454	750
8	240	135	462	761
9	270	136	466	771
10	300	136	467	784
11	330	136	467	823
12	360	136	470	856
13	390	137	471	879
14	420	193	477	846
15	450	302	512	716
16	480	387	562	601
17	510	437	596	532
18	540	464	612	500
19	570	473	605	509
20	600	475	515	516
21	630	475	388	527
22	660	475	286	544
23	690	475	201	562
24	720	475	173	588
25	750	476	163	612
26	780	502	162	597
27	810	588	168	523
28	840	665	189	438
29	870	704	203	405
30	900	729	213	379
31	930	738	214	381
32	960	739	190	383
33	990	740	135	398
34	1020	740	105	406
35	1050	740	86	417
36	1080	740	79	429
37	1110	740	76	443
38	1140	758	79	439
39	1170	804	83	403
40	1200	856	84	368
41	1230	886	92	342
42	1260	903	98	336
43	1290	909	102	340
44	1320	912	96	349
45	1350	912	75	358
46	1380	912	57	370
47	1410	912	47	381
48	1440	912	43	390
