	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1169	2
2	60	16	1149	34
3	90	49	1043	150
4	120	88	876	302
5	150	117	772	403
6	180	130	728	455
7	210	152	686	500
8	240	168	655	532
9	270	187	645	553
10	300	208	618	577
11	330	226	612	587
12	360	242	602	595
13	390	256	604	602
14	420	271	604	608
15	450	283	606	615
16	480	289	617	621
17	510	298	622	626
18	540	312	626	626
19	570	329	626	609
20	600	352	620	512
21	630	366	620	359
22	660	389	618	252
23	690	400	634	189
24	720	421	632	147
25	750	446	625	116
26	780	456	641	96
27	810	469	655	76
28	840	477	666	66
29	870	493	674	59
30	900	505	684	54
31	930	521	685	48
32	960	528	700	42
33	990	544	706	37
34	1020	560	709	35
35	1050	578	712	34
36	1080	596	730	32
37	1110	620	727	32
38	1140	633	746	31
39	1170	644	763	34
40	1200	661	769	36
41	1230	681	764	37
42	1260	689	783	36
43	1290	706	786	39
44	1320	727	787	40
45	1350	751	786	40
46	1380	774	790	43
47	1410	793	797	45
48	1440	800	809	47
