	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1167	4	0
2	60	1168	28	12
3	90	1077	123	39
4	120	954	250	76
5	150	839	360	108
6	180	779	423	134
7	210	765	464	138
8	240	779	470	139
9	270	796	472	139
10	300	822	472	139
11	330	853	472	139
12	360	886	473	139
13	390	917	474	139
14	420	938	476	139
15	450	979	481	139
16	480	1008	481	139
17	510	1039	481	139
18	540	1068	480	139
19	570	1100	466	139
20	600	1142	387	139
21	630	1176	257	139
22	660	1190	145	168
23	690	1034	119	317
24	720	840	136	489
25	750	686	183	607
26	780	615	217	662
27	810	598	239	679
28	840	607	246	680
29	870	632	247	680
30	900	656	248	680
31	930	683	245	680
32	960	700	245	680
33	990	712	244	680
34	1020	743	244	680
35	1050	768	241	680
36	1080	797	240	680
37	1110	818	240	680
38	1140	841	241	680
39	1170	871	238	680
40	1200	890	213	680
41	1230	913	157	680
42	1260	944	95	680
43	1290	887	55	757
44	1320	737	46	919
45	1350	625	67	1034
46	1380	547	83	1116
47	1410	496	101	1163
48	1440	503	107	1168
