	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	0	1175
2	60	17	21	1167
3	90	49	126	1071
4	120	77	253	956
5	150	118	340	854
6	180	139	407	787
7	210	148	436	778
8	240	149	442	810
9	270	149	443	838
10	300	149	444	874
11	330	149	444	907
12	360	149	444	941
13	390	152	444	966
14	420	238	457	893
15	450	357	488	767
16	480	424	531	674
17	510	470	563	621
18	540	482	582	620
19	570	486	571	635
20	600	486	480	661
21	630	486	354	688
22	660	486	263	717
23	690	486	196	742
24	720	486	159	765
25	750	492	151	790
26	780	569	159	726
27	810	654	177	651
28	840	719	192	594
29	870	756	206	565
30	900	772	208	570
31	930	777	200	586
32	960	777	181	601
33	990	777	133	621
34	1020	777	100	635
35	1050	777	76	649
36	1080	777	74	673
37	1110	785	73	687
38	1140	852	79	632
39	1170	953	91	539
40	1200	1015	102	488
41	1230	1053	110	460
42	1260	1062	112	468
43	1290	1064	109	474
44	1320	1064	88	481
45	1350	1064	74	491
46	1380	1064	61	509
47	1410	1064	58	530
48	1440	1064	58	552
