	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	1	1170
2	60	30	12	1169
3	90	147	44	1052
4	120	275	76	915
5	150	374	102	823
6	180	450	120	752
7	210	483	122	745
8	240	490	124	753
9	270	494	124	773
10	300	494	124	813
11	330	494	124	842
12	360	494	124	876
13	390	494	124	909
14	420	498	124	931
15	450	498	124	957
16	480	500	124	994
17	510	501	124	1022
18	540	500	129	1046
19	570	501	209	984
20	600	446	357	824
21	630	361	463	684
22	660	305	523	601
23	690	241	557	561
24	720	217	572	552
25	750	208	573	570
26	780	208	573	589
27	810	206	573	605
28	840	207	573	626
29	870	207	573	639
30	900	207	573	659
31	930	203	573	681
32	960	206	573	699
33	990	206	573	720
34	1020	207	573	736
35	1050	206	578	754
36	1080	205	661	687
37	1110	181	779	563
38	1140	152	842	493
39	1170	115	888	446
40	1200	92	919	425
41	1230	85	923	430
42	1260	83	924	449
43	1290	83	924	467
44	1320	82	924	482
45	1350	81	924	497
46	1380	83	924	510
47	1410	83	924	531
48	1440	83	924	542
