	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1170
2	60	11	33	1162
3	90	46	141	1052
4	120	71	290	913
5	150	101	392	820
6	180	123	448	779
7	210	127	484	761
8	240	127	491	782
9	270	127	494	808
10	300	127	498	829
11	330	127	498	863
12	360	127	501	879
13	390	127	502	917
14	420	127	503	945
15	450	128	507	986
16	480	185	514	951
17	510	325	552	800
18	540	423	602	678
19	570	489	616	595
20	600	511	535	574
21	630	513	402	580
22	660	513	293	604
23	690	513	224	621
24	720	513	188	637
25	750	513	178	662
26	780	513	177	692
27	810	513	175	721
28	840	513	174	749
29	870	513	174	773
30	900	541	177	762
31	930	669	192	634
32	960	796	210	502
33	990	841	218	453
34	1020	864	206	431
35	1050	868	155	437
36	1080	869	114	444
37	1110	869	97	463
38	1140	869	89	482
39	1170	869	86	502
40	1200	869	85	522
41	1230	869	84	536
42	1260	869	85	550
43	1290	869	84	566
44	1320	881	83	569
45	1350	958	85	514
46	1380	1050	90	433
47	1410	1098	101	391
48	1440	1123	92	381
