	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	4	1167
2	60	12	30	1169
3	90	42	133	1079
4	120	68	277	942
5	150	96	377	849
6	180	105	448	798
7	210	110	474	790
8	240	110	482	805
9	270	110	484	835
10	300	110	488	857
11	330	110	490	889
12	360	110	492	926
13	390	110	494	951
14	420	110	499	974
15	450	110	499	1003
16	480	110	501	1023
17	510	110	502	1056
18	540	114	499	1089
19	570	228	496	1002
20	600	386	452	830
21	630	476	362	711
22	660	554	282	632
23	690	584	227	598
24	720	591	205	602
25	750	592	197	622
26	780	592	197	643
27	810	592	198	669
28	840	592	195	701
29	870	592	196	717
30	900	592	195	736
31	930	592	192	760
32	960	592	190	789
33	990	592	190	807
34	1020	592	188	825
35	1050	597	188	842
36	1080	694	190	761
37	1110	840	170	624
38	1140	943	135	521
39	1170	995	123	459
40	1200	1018	105	455
41	1230	1028	93	464
42	1260	1028	94	471
43	1290	1028	96	489
44	1320	1028	96	499
45	1350	1028	96	519
46	1380	1028	94	539
47	1410	1028	95	547
48	1440	1028	94	554
