	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	3	1174	0
2	60	29	1166	13
3	90	147	1043	49
4	120	280	905	78
5	150	357	818	107
6	180	425	765	119
7	210	442	770	121
8	240	449	782	121
9	270	451	804	121
10	300	455	833	121
11	330	456	850	121
12	360	459	879	121
13	390	463	892	121
14	420	464	926	121
15	450	464	957	121
16	480	465	995	121
17	510	468	1024	121
18	540	466	1051	121
19	570	454	1092	121
20	600	352	1122	121
21	630	215	1164	121
22	660	124	1207	121
23	690	57	1232	122
24	720	42	1178	216
25	750	95	896	467
26	780	154	688	639
27	810	206	583	709
28	840	222	568	725
29	870	226	576	725
30	900	220	604	726
31	930	220	615	726
32	960	220	644	726
33	990	220	665	726
34	1020	218	681	726
35	1050	218	695	726
36	1080	219	710	726
37	1110	218	728	726
38	1140	216	751	726
39	1170	218	769	726
40	1200	219	790	726
41	1230	217	818	726
42	1260	169	846	726
43	1290	97	862	726
44	1320	47	892	726
45	1350	23	920	727
46	1380	21	861	805
47	1410	48	690	980
48	1440	88	531	1113
