	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	5	1171	0
2	60	31	1169	10
3	90	136	1064	39
4	120	255	939	79
5	150	360	833	105
6	180	423	781	129
7	210	465	773	131
8	240	479	779	131
9	270	480	801	132
10	300	483	803	146
11	330	499	746	206
12	360	541	651	275
13	390	576	596	326
14	420	600	568	351
15	450	617	560	357
16	480	623	570	359
17	510	625	586	359
18	540	622	599	360
19	570	605	595	383
20	600	529	552	438
21	630	412	512	482
22	660	328	478	514
23	690	257	455	544
24	720	212	466	548
25	750	197	485	548
26	780	194	498	548
27	810	192	516	551
28	840	184	501	584
29	870	148	447	641
30	900	119	424	674
31	930	108	408	694
32	960	91	404	704
33	990	86	423	705
34	1020	86	433	705
35	1050	86	449	705
36	1080	86	455	713
37	1110	81	427	752
38	1140	79	381	798
39	1170	65	366	827
40	1200	61	361	844
41	1230	60	366	847
42	1260	59	378	849
43	1290	58	390	849
44	1320	58	406	850
45	1350	59	403	867
46	1380	57	374	910
47	1410	51	341	946
48	1440	46	324	971
49	1470	43	324	982
50	1500	41	333	986
51	1530	37	345	986
52	1560	37	356	986
53	1590	37	367	988
54	1620	37	364	1005
55	1650	35	316	1056
56	1680	35	300	1080
57	1710	38	294	1095
58	1740	36	294	1103
59	1770	38	297	1106
60	1800	36	311	1107
61	1830	36	316	1107
62	1860	36	319	1110
63	1890	33	296	1141
64	1920	31	272	1176
65	1950	33	259	1189
66	1980	33	258	1200
67	2010	32	257	1205
68	2040	33	270	1205
69	2070	32	280	1205
70	2100	32	291	1205
71	2130	31	299	1218
72	2160	28	275	1248
73	2190	27	266	1267
74	2220	24	261	1279
75	2250	26	258	1289
76	2280	26	260	1293
77	2310	26	270	1293
78	2340	25	283	1293
79	2370	24	289	1296
80	2400	21	278	1321
81	2430	26	247	1357
82	2460	25	234	1374
83	2490	24	236	1384
84	2520	24	239	1384
85	2550	23	247	1385
86	2580	24	253	1385
87	2610	24	266	1385
88	2640	25	269	1392
89	2670	22	244	1421
90	2700	24	224	1446
91	2730	24	209	1465
92	2760	21	213	1470
93	2790	19	215	1476
94	2820	20	217	1476
95	2850	20	227	1476
96	2880	20	235	1476
97	2910	21	224	1492
98	2940	20	209	1509
99	2970	19	189	1531
100	3000	21	184	1540
101	3030	19	186	1546
102	3060	20	190	1548
103	3090	19	197	1548
104	3120	21	201	1548
105	3150	21	209	1550
106	3180	23	202	1564
107	3210	23	186	1584
108	3240	21	190	1588
109	3270	24	184	1600
110	3300	24	187	1606
111	3330	25	189	1606
112	3360	25	196	1606
113	3390	26	203	1606
114	3420	25	201	1613
115	3450	21	179	1644
116	3480	20	162	1664
117	3510	19	157	1672
118	3540	20	153	1680
119	3570	20	155	1681
