	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1168	3	1
2	60	1156	30	19
3	90	1060	136	51
4	120	931	250	90
5	150	840	345	115
6	180	760	425	138
7	210	740	455	146
8	240	757	460	146
9	270	785	462	146
10	300	801	464	150
11	330	747	481	212
12	360	644	509	298
13	390	592	537	348
14	420	569	563	370
15	450	567	574	383
16	480	578	576	384
17	510	599	578	384
18	540	627	577	384
19	570	629	563	402
20	600	571	480	467
21	630	520	367	519
22	660	506	278	552
23	690	495	200	573
24	720	505	166	578
25	750	519	160	579
26	780	538	159	579
27	810	547	161	581
28	840	529	154	620
29	870	482	137	668
30	900	461	113	702
31	930	443	96	729
32	960	437	81	743
33	990	451	80	749
34	1020	461	80	750
35	1050	473	79	750
36	1080	487	78	753
37	1110	456	73	799
38	1140	429	74	839
39	1170	409	69	868
40	1200	400	68	881
41	1230	392	69	889
42	1260	409	67	889
43	1290	425	66	889
44	1320	436	63	889
45	1350	427	62	908
46	1380	391	53	953
47	1410	354	49	994
48	1440	344	46	1016
49	1470	336	46	1032
50	1500	342	47	1035
51	1530	361	46	1035
52	1560	371	48	1035
53	1590	381	48	1039
54	1620	358	50	1071
55	1650	320	45	1110
56	1680	301	42	1137
57	1710	289	38	1157
58	1740	287	37	1165
59	1770	292	37	1166
60	1800	303	38	1167
61	1830	314	37	1167
62	1860	320	36	1174
63	1890	305	35	1197
64	1920	280	34	1227
65	1950	274	32	1246
66	1980	265	33	1261
67	2010	272	31	1264
68	2040	276	32	1265
69	2070	287	31	1265
70	2100	301	31	1265
71	2130	294	31	1280
72	2160	262	28	1315
73	2190	248	26	1337
74	2220	237	25	1354
75	2250	236	26	1361
76	2280	245	25	1362
77	2310	253	25	1363
78	2340	261	26	1363
79	2370	274	27	1365
80	2400	261	28	1383
81	2430	244	28	1413
82	2460	230	32	1428
83	2490	227	29	1441
84	2520	225	29	1445
85	2550	234	28	1445
86	2580	240	26	1445
87	2610	253	26	1445
88	2640	259	27	1449
89	2670	240	24	1476
90	2700	214	26	1502
91	2730	199	27	1519
92	2760	192	24	1530
93	2790	192	25	1534
94	2820	199	24	1535
95	2850	208	23	1535
96	2880	211	23	1535
97	2910	209	21	1552
98	2940	179	20	1584
99	2970	172	19	1594
100	3000	165	21	1604
101	3030	163	20	1610
102	3060	168	20	1610
103	3090	171	20	1610
104	3120	174	20	1610
105	3150	175	20	1610
106	3180	161	20	1627
107	3210	147	20	1640
108	3240	140	18	1649
109	3270	137	19	1659
110	3300	135	21	1661
111	3330	136	20	1663
112	3360	139	21	1663
113	3390	145	20	1664
114	3420	148	20	1671
115	3450	145	20	1682
116	3480	133	18	1692
117	3510	133	17	1699
118	3540	131	19	1704
119	3570	134	19	1706
120	3600	137	19	1706
121	3630	140	19	1706
122	3660	143	17	1706
123	3690	142	18	1715
124	3720	132	16	1727
125	3750	120	15	1740
126	3780	115	15	1744
127	3810	110	13	1749
128	3840	114	13	1749
129	3870	119	12	1749
130	3900	122	12	1749
131	3930	122	12	1752
132	3960	114	13	1765
133	3990	104	9	1781
134	4020	99	10	1785
135	4050	100	8	1785
136	4080	96	8	1791
137	4110	98	8	1791
138	4140	100	8	1791
139	4170	101	8	1791
140	4200	97	8	1795
141	4230	89	7	1805
142	4260	84	8	1813
143	4290	88	8	1816
144	4320	88	7	1818
145	4350	90	7	1820
146	4380	90	7	1820
147	4410	93	7	1820
148	4440	98	7	1820
149	4470	98	8	1825
150	4500	93	10	1832
151	4530	83	8	1844
152	4560	82	7	1847
153	4590	83	7	1850
154	4620	81	8	1852
155	4650	85	8	1852
156	4680	95	8	1852
157	4710	94	8	1853
158	4740	89	8	1861
159	4770	78	8	1873
160	4800	78	8	1876
161	4830	75	8	1880
162	4860	79	9	1880
163	4890	80	10	1880
164	4920	82	10	1880
165	4950	84	10	1880
166	4980	83	9	1882
167	5010	79	8	1885
168	5040	74	8	1894
169	5070	70	8	1900
170	5100	72	8	1902
171	5130	73	7	1902
172	5160	79	7	1902
173	5190	81	7	1902
174	5220	81	7	1903
175	5250	73	6	1913
176	5280	70	6	1918
177	5310	65	7	1925
178	5340	60	6	1931
179	5370	65	6	1933
180	5400	69	5	1933
181	5430	72	5	1933
182	5460	76	5	1933
183	5490	77	5	1935
184	5520	74	5	1937
185	5550	65	5	1948
186	5580	60	5	1954
187	5610	58	5	1957
188	5640	59	5	1957
189	5670	63	5	1957
190	5700	63	5	1957
191	5730	67	6	1957
192	5760	64	6	1962
193	5790	55	6	1973
194	5820	48	6	1981
195	5850	45	6	1985
196	5880	46	5	1987
197	5910	48	5	1987
198	5940	50	5	1987
199	5970	50	5	1987
200	6000	53	5	1987
201	6030	51	3	1992
202	6060	46	3	1999
203	6090	41	3	2004
204	6120	41	3	2004
205	6150	41	3	2007
206	6180	42	3	2007
207	6210	44	3	2007
208	6240	45	2	2007
209	6270	47	2	2008
210	6300	42	1	2013
211	6330	42	0	2017
212	6360	41	0	2020
213	6390	41	0	2022
214	6420	43	0	2022
215	6450	46	0	2022
216	6480	46	0	2022
217	6510	46	0	2022
218	6540	40	1	2029
219	6570	38	1	2033
220	6600	37	1	2035
221	6630	37	1	2037
222	6660	37	1	2038
223	6690	37	1	2038
224	6720	38	1	2038
225	6750	39	2	2038
226	6780	42	2	2038
227	6810	41	2	2040
228	6840	42	2	2040
229	6870	40	3	2043
230	6900	34	4	2049
231	6930	35	4	2049
232	6960	36	5	2049
233	6990	36	5	2049
234	7020	37	5	2049
235	7050	36	5	2050
236	7080	31	4	2055
237	7110	28	4	2059
238	7140	27	4	2060
239	7170	28	4	2060
240	7200	29	4	2060
241	7230	30	4	2061
242	7260	30	3	2061
243	7290	30	3	2061
244	7320	30	3	2062
245	7350	31	3	2063
246	7380	29	3	2065
247	7410	27	2	2068
248	7440	27	2	2069
249	7470	29	1	2069
250	7500	32	1	2069
251	7530	33	1	2069
252	7560	34	1	2070
253	7590	32	1	2075
254	7620	31	2	2076
255	7650	31	2	2076
256	7680	30	2	2077
257	7710	30	3	2077
258	7740	30	3	2077
259	7770	33	3	2077
260	7800	35	3	2077
261	7830	35	3	2078
262	7860	31	4	2081
263	7890	33	3	2082
264	7920	32	3	2085
265	7950	30	3	2087
266	7980	31	3	2087
