	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1158
2	60	27	24	1151
3	90	53	133	1053
4	120	89	251	926
5	150	119	342	835
6	180	135	411	767
7	210	141	440	758
8	240	142	445	773
9	270	142	448	803
10	300	142	449	820
11	330	181	460	807
12	360	254	496	721
13	390	305	532	658
14	420	338	563	610
15	450	356	581	590
16	480	359	586	605
17	510	361	589	633
18	540	361	589	654
19	570	361	573	667
20	600	407	493	648
21	630	482	376	581
22	660	535	294	533
23	690	566	231	508
24	720	584	207	490
25	750	589	201	509
26	780	589	201	523
27	810	589	200	545
28	840	591	190	554
29	870	635	165	528
30	900	685	131	487
31	930	727	101	464
32	960	749	85	446
33	990	758	83	445
34	1020	763	82	450
35	1050	763	82	470
36	1080	763	83	485
37	1110	766	82	494
38	1140	801	70	464
39	1170	846	57	431
40	1200	878	55	408
41	1230	906	51	391
42	1260	924	49	379
43	1290	925	47	388
44	1320	925	47	405
45	1350	925	47	413
46	1380	925	46	429
47	1410	957	42	406
48	1440	1001	42	370
49	1470	1036	42	343
50	1500	1055	40	333
51	1530	1058	43	341
52	1560	1062	42	345
53	1590	1062	41	359
54	1620	1062	41	371
55	1650	1066	38	381
56	1680	1094	40	361
57	1710	1132	41	328
58	1740	1159	43	304
59	1770	1179	40	289
60	1800	1187	39	290
61	1830	1188	39	304
62	1860	1189	39	314
63	1890	1189	39	318
64	1920	1191	39	331
65	1950	1219	39	309
66	1980	1251	34	282
67	2010	1273	33	262
68	2040	1287	30	253
69	2070	1295	30	259
70	2100	1295	32	262
71	2130	1295	32	277
72	2160	1295	32	286
73	2190	1298	30	300
74	2220	1311	24	293
75	2250	1342	17	273
76	2280	1372	14	248
77	2310	1392	17	235
78	2340	1403	18	230
79	2370	1406	18	232
80	2400	1406	18	240
81	2430	1406	18	251
82	2460	1409	16	257
83	2490	1428	16	238
84	2520	1456	19	218
85	2550	1470	21	206
86	2580	1485	25	194
87	2610	1496	24	186
88	2640	1497	24	190
89	2670	1497	23	195
90	2700	1497	23	205
91	2730	1498	24	210
92	2760	1521	26	190
93	2790	1549	27	163
94	2820	1559	27	152
95	2850	1572	28	141
96	2880	1573	29	142
97	2910	1573	28	153
98	2940	1573	27	165
99	2970	1573	27	168
100	3000	1573	27	174
101	3030	1584	23	169
102	3060	1602	23	159
103	3090	1614	19	151
104	3120	1625	19	144
105	3150	1629	20	141
106	3180	1630	20	146
107	3210	1630	20	151
108	3240	1630	18	157
109	3270	1630	17	160
110	3300	1644	17	145
111	3330	1666	17	124
112	3360	1676	17	118
113	3390	1682	16	118
114	3420	1685	16	118
115	3450	1686	16	126
116	3480	1686	18	132
117	3510	1686	18	135
118	3540	1688	17	136
119	3570	1704	15	120
120	3600	1719	17	109
121	3630	1727	18	100
122	3660	1735	17	98
123	3690	1736	17	99
124	3720	1736	18	100
125	3750	1736	18	107
126	3780	1736	18	111
127	3810	1742	15	114
128	3840	1752	12	105
129	3870	1760	14	102
130	3900	1767	14	96
131	3930	1772	16	90
132	3960	1774	17	91
133	3990	1774	15	94
134	4020	1774	15	96
135	4050	1774	15	99
136	4080	1777	14	99
137	4110	1788	13	89
138	4140	1793	11	92
139	4170	1802	13	84
140	4200	1803	15	85
141	4230	1804	15	84
142	4260	1804	16	84
143	4290	1804	16	85
144	4320	1805	16	86
145	4350	1808	15	90
146	4380	1824	14	76
147	4410	1832	15	69
148	4440	1841	13	65
149	4470	1841	13	65
150	4500	1842	13	65
151	4530	1843	13	67
152	4560	1843	13	69
153	4590	1843	13	72
154	4620	1844	12	73
155	4650	1852	12	67
