	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1178	0
2	60	11	1177	30
3	90	39	1079	142
4	120	68	966	260
5	150	102	869	348
6	180	127	801	411
7	210	130	796	433
8	240	131	829	440
9	270	131	865	443
10	300	141	884	446
11	330	206	834	465
12	360	296	713	517
13	390	350	653	546
14	420	382	619	580
15	450	395	605	599
16	480	395	625	604
17	510	395	636	608
18	540	395	649	613
19	570	420	646	599
20	600	483	587	513
21	630	529	549	395
22	660	568	515	307
23	690	603	485	247
24	720	604	492	225
25	750	604	508	218
26	780	604	521	218
27	810	604	535	216
28	840	635	528	200
29	870	694	484	167
30	900	724	465	133
31	930	757	444	109
32	960	765	445	81
33	990	767	453	77
34	1020	768	463	72
35	1050	768	474	68
36	1080	775	478	68
37	1110	817	449	64
38	1140	873	397	64
39	1170	898	377	59
40	1200	916	362	55
41	1230	918	372	50
42	1260	918	384	48
43	1290	918	391	45
44	1320	918	402	46
45	1350	943	390	46
46	1380	990	348	43
47	1410	1013	337	39
48	1440	1032	329	35
49	1470	1045	323	35
50	1500	1046	332	37
51	1530	1046	341	37
52	1560	1046	349	39
53	1590	1050	365	37
54	1620	1093	331	37
55	1650	1119	316	33
56	1680	1140	298	35
57	1710	1153	293	31
58	1740	1155	298	30
59	1770	1157	305	32
60	1800	1157	319	32
61	1830	1157	326	32
62	1860	1169	322	32
63	1890	1196	302	32
64	1920	1219	285	32
65	1950	1243	265	34
66	1980	1251	267	35
67	2010	1258	267	34
68	2040	1258	273	36
69	2070	1258	278	37
70	2100	1258	283	35
71	2130	1287	262	35
72	2160	1312	244	33
73	2190	1341	219	27
74	2220	1352	217	28
75	2250	1357	218	29
76	2280	1358	226	28
77	2310	1358	236	28
78	2340	1358	243	27
79	2370	1364	244	28
80	2400	1385	229	29
81	2430	1409	208	33
82	2460	1423	199	32
83	2490	1431	196	30
84	2520	1433	203	29
85	2550	1433	211	27
86	2580	1433	215	27
87	2610	1433	220	28
88	2640	1441	219	26
89	2670	1460	209	29
90	2700	1477	198	28
91	2730	1489	195	27
92	2760	1497	190	25
93	2790	1497	198	25
94	2820	1497	204	25
95	2850	1497	212	26
96	2880	1498	217	25
97	2910	1518	208	24
98	2940	1548	182	19
99	2970	1560	173	18
100	3000	1570	170	18
101	3030	1575	170	18
102	3060	1575	176	19
103	3090	1575	178	19
104	3120	1575	182	18
105	3150	1583	180	18
106	3180	1606	161	17
107	3210	1619	149	19
108	3240	1631	138	21
109	3270	1638	131	21
110	3300	1639	136	20
111	3330	1639	142	20
112	3360	1639	146	19
113	3390	1640	151	19
114	3420	1654	143	19
115	3450	1664	137	18
116	3480	1679	130	17
117	3510	1685	127	17
118	3540	1688	134	17
119	3570	1689	138	16
120	3600	1689	138	17
121	3630	1689	142	17
122	3660	1690	143	17
123	3690	1705	130	17
124	3720	1720	113	16
125	3750	1730	106	15
126	3780	1736	108	12
127	3810	1737	113	12
128	3840	1738	123	12
129	3870	1738	128	13
130	3900	1738	132	13
131	3930	1753	120	14
132	3960	1770	102	14
133	3990	1777	98	15
134	4020	1783	90	15
135	4050	1786	91	15
136	4080	1786	98	15
137	4110	1786	101	14
138	4140	1786	102	15
139	4170	1788	103	15
140	4200	1801	96	15
141	4230	1809	89	12
142	4260	1817	84	10
143	4290	1823	80	10
144	4320	1824	80	11
145	4350	1824	80	11
146	4380	1824	87	10
147	4410	1824	90	10
148	4440	1827	90	8
149	4470	1838	81	9
150	4500	1849	73	10
151	4530	1852	72	10
152	4560	1854	72	9
153	4590	1857	71	9
154	4620	1857	72	8
155	4650	1857	75	7
156	4680	1858	73	8
157	4710	1863	71	8
158	4740	1874	59	9
