	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1194	4	0
2	60	1199	32	8
3	90	1126	123	35
4	120	979	265	67
5	150	887	359	99
6	180	820	437	114
7	210	803	479	119
8	240	813	486	119
9	270	835	490	119
10	300	835	495	141
11	330	757	515	221
12	360	666	558	294
13	390	610	590	342
14	420	572	615	376
15	450	581	628	383
16	480	600	637	383
17	510	619	641	383
18	540	639	639	385
19	570	615	626	429
20	600	561	567	491
21	630	512	447	531
22	660	503	350	553
23	690	505	270	563
24	720	520	225	566
25	750	540	215	566
26	780	558	210	566
27	810	548	210	588
28	840	512	197	642
29	870	470	161	692
30	900	449	136	724
31	930	440	111	737
32	960	452	101	742
33	990	473	88	742
34	1020	485	87	742
35	1050	498	85	747
36	1080	467	86	792
37	1110	436	77	830
38	1140	412	63	866
39	1170	414	54	882
40	1200	427	47	886
41	1230	435	48	886
42	1260	451	48	886
43	1290	470	49	887
44	1320	456	50	912
45	1350	410	49	964
46	1380	385	50	996
47	1410	369	43	1021
48	1440	369	43	1029
49	1470	378	40	1029
50	1500	397	40	1030
51	1530	411	40	1031
52	1560	410	38	1041
53	1590	372	42	1080
54	1620	338	40	1115
55	1650	326	37	1134
56	1680	324	35	1146
57	1710	327	35	1150
58	1740	347	35	1150
59	1770	355	37	1150
60	1800	364	36	1156
61	1830	347	36	1184
62	1860	319	38	1219
63	1890	302	34	1251
64	1920	294	38	1268
65	1950	301	35	1271
66	1980	312	35	1273
67	2010	322	35	1273
68	2040	332	35	1273
69	2070	318	35	1297
70	2100	287	35	1342
71	2130	268	30	1370
72	2160	257	30	1387
73	2190	261	30	1394
74	2220	269	33	1394
75	2250	273	31	1394
76	2280	280	28	1394
77	2310	286	27	1399
78	2340	268	30	1427
79	2370	253	29	1448
80	2400	238	30	1465
81	2430	226	28	1477
82	2460	228	29	1480
83	2490	237	31	1480
84	2520	243	31	1480
85	2550	246	31	1482
86	2580	223	35	1511
87	2610	210	34	1529
88	2640	191	36	1547
89	2670	183	33	1561
90	2700	181	33	1569
91	2730	187	30	1569
92	2760	193	30	1570
93	2790	205	30	1570
94	2820	203	31	1578
95	2850	188	30	1603
96	2880	177	27	1624
97	2910	176	23	1632
98	2940	184	20	1636
99	2970	192	18	1636
100	3000	198	16	1636
101	3030	204	16	1636
102	3060	204	16	1640
103	3090	196	13	1658
104	3120	193	12	1672
105	3150	187	10	1683
106	3180	181	13	1695
107	3210	187	13	1695
108	3240	193	13	1697
109	3270	197	13	1699
110	3300	200	13	1701
111	3330	195	13	1711
112	3360	183	14	1729
113	3390	179	12	1742
114	3420	175	13	1751
115	3450	179	13	1753
116	3480	183	13	1754
117	3510	191	14	1754
118	3540	196	14	1754
119	3570	195	15	1761
120	3600	177	16	1783
121	3630	164	16	1796
122	3660	155	18	1807
123	3690	156	15	1818
124	3720	156	16	1819
125	3750	161	15	1819
126	3780	164	15	1819
127	3810	171	15	1821
128	3840	167	15	1833
129	3870	154	16	1856
130	3900	147	17	1868
131	3930	145	17	1874
132	3960	152	16	1875
133	3990	157	16	1875
134	4020	168	15	1875
135	4050	177	15	1875
136	4080	167	15	1888
137	4110	150	15	1910
138	4140	141	14	1923
139	4170	143	12	1929
140	4200	150	13	1929
141	4230	160	13	1931
142	4260	165	13	1932
143	4290	169	13	1932
144	4320	169	13	1939
145	4350	145	17	1961
146	4380	135	16	1975
147	4410	132	15	1985
148	4440	129	17	1991
149	4470	127	17	1995
150	4500	131	18	1996
151	4530	133	19	1996
152	4560	134	19	1998
153	4590	133	19	2005
154	4620	119	22	2021
155	4650	112	24	2028
156	4680	108	23	2032
157	4710	111	23	2032
158	4740	115	23	2032
159	4770	116	23	2032
160	4800	116	23	2033
161	4830	112	25	2040
162	4860	101	20	2053
163	4890	96	21	2060
164	4920	93	20	2068
165	4950	88	17	2073
166	4980	90	16	2074
167	5010	93	15	2074
168	5040	94	16	2074
169	5070	95	15	2077
170	5100	94	15	2081
171	5130	90	13	2088
172	5160	88	13	2091
173	5190	82	12	2099
174	5220	82	11	2100
175	5250	83	11	2100
176	5280	85	10	2100
177	5310	89	11	2102
178	5340	87	9	2108
179	5370	80	10	2118
180	5400	76	10	2123
181	5430	73	11	2126
182	5460	78	11	2126
183	5490	77	11	2128
