	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1179
2	60	7	19	1187
3	90	40	123	1088
4	120	83	260	939
5	150	118	358	833
6	180	137	429	764
7	210	143	464	752
8	240	143	473	765
9	270	143	474	793
10	300	154	474	814
11	330	218	485	756
12	360	290	526	663
13	390	332	567	608
14	420	362	599	573
15	450	375	610	567
16	480	376	611	589
17	510	376	612	599
18	540	376	611	617
19	570	394	600	619
20	600	467	528	554
21	630	530	398	488
22	660	558	301	468
23	690	580	231	454
24	720	587	194	460
25	750	587	184	476
26	780	587	183	493
27	810	587	183	512
28	840	633	178	476
29	870	690	149	429
30	900	721	116	400
31	930	739	94	383
32	960	746	76	386
33	990	747	78	401
34	1020	747	77	411
35	1050	747	77	430
36	1080	752	77	445
37	1110	785	77	416
38	1140	829	68	382
39	1170	848	66	367
40	1200	872	57	354
41	1230	877	53	356
42	1260	880	53	367
43	1290	881	52	383
44	1320	881	53	391
45	1350	893	50	391
46	1380	931	45	361
47	1410	962	38	345
48	1440	992	33	332
49	1470	1005	32	332
50	1500	1007	30	339
51	1530	1007	29	348
52	1560	1007	29	360
53	1590	1009	31	369
54	1620	1034	31	359
55	1650	1071	23	331
56	1680	1097	24	314
57	1710	1114	31	299
58	1740	1115	32	312
59	1770	1119	30	320
60	1800	1119	31	333
61	1830	1119	30	350
62	1860	1127	30	359
63	1890	1158	31	329
64	1920	1202	31	288
65	1950	1226	32	272
66	1980	1244	33	262
67	2010	1247	33	271
68	2040	1247	34	284
69	2070	1247	35	296
70	2100	1247	34	308
71	2130	1258	34	306
72	2160	1285	31	285
73	2190	1317	31	262
74	2220	1334	23	257
75	2250	1341	20	262
76	2280	1345	22	266
77	2310	1345	21	277
78	2340	1345	22	283
79	2370	1345	22	286
80	2400	1370	21	268
81	2430	1400	23	247
82	2460	1421	26	227
83	2490	1433	24	223
84	2520	1435	27	221
85	2550	1435	26	229
86	2580	1436	25	233
87	2610	1436	24	240
88	2640	1442	24	243
89	2670	1464	25	229
90	2700	1492	26	204
91	2730	1507	25	192
92	2760	1515	26	187
93	2790	1517	26	191
94	2820	1518	26	196
95	2850	1518	26	204
96	2880	1518	25	212
97	2910	1533	24	202
98	2940	1550	22	191
99	2970	1563	20	189
100	3000	1574	22	185
101	3030	1579	17	188
102	3060	1580	17	190
103	3090	1581	18	194
104	3120	1581	19	201
105	3150	1583	20	203
106	3180	1593	20	199
107	3210	1626	22	166
108	3240	1644	26	147
109	3270	1652	26	145
110	3300	1656	24	146
111	3330	1656	24	150
112	3360	1656	25	156
113	3390	1656	25	165
114	3420	1659	27	161
115	3450	1680	26	144
116	3480	1692	23	138
117	3510	1700	21	133
118	3540	1707	21	131
119	3570	1707	21	138
120	3600	1707	20	142
121	3630	1707	20	146
122	3660	1708	20	151
123	3690	1717	20	150
