	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1171	0	3
2	60	1175	24	10
3	90	1071	135	39
4	120	944	259	76
5	150	829	368	109
6	180	767	440	126
7	210	744	480	132
8	240	754	487	133
9	270	783	490	133
10	300	797	492	145
11	330	730	513	212
12	360	669	541	268
13	390	610	575	311
14	420	584	604	335
15	450	576	616	344
16	480	577	618	349
17	510	593	620	349
18	540	610	622	352
19	570	579	609	400
20	600	541	523	449
21	630	492	423	493
22	660	467	315	519
23	690	472	241	526
24	720	477	198	531
25	750	487	191	531
26	780	502	189	531
27	810	492	191	551
28	840	444	186	604
29	870	406	160	648
30	900	393	135	670
31	930	387	106	681
32	960	404	96	682
33	990	412	93	684
34	1020	425	92	684
35	1050	428	92	691
36	1080	412	91	727
37	1110	372	88	780
38	1140	357	71	805
39	1170	354	63	821
40	1200	354	59	828
41	1230	364	56	829
42	1260	372	53	829
43	1290	380	52	831
44	1320	356	52	865
45	1350	338	44	895
46	1380	311	49	925
47	1410	302	45	944
48	1440	306	42	951
49	1470	315	42	952
50	1500	322	44	952
51	1530	330	42	952
52	1560	335	41	960
53	1590	317	42	984
54	1620	294	40	1012
55	1650	281	39	1033
56	1680	275	40	1044
57	1710	282	38	1047
58	1740	292	37	1047
59	1770	303	37	1047
60	1800	309	38	1051
61	1830	282	41	1087
62	1860	259	40	1116
63	1890	254	33	1129
64	1920	253	27	1141
65	1950	258	27	1144
66	1980	269	26	1144
67	2010	280	26	1144
68	2040	282	28	1144
69	2070	272	27	1169
70	2100	244	29	1204
71	2130	236	27	1225
72	2160	229	28	1240
73	2190	229	27	1246
74	2220	231	26	1249
75	2250	235	28	1249
76	2280	245	28	1249
77	2310	244	29	1255
78	2340	242	26	1270
79	2370	237	28	1283
80	2400	234	28	1293
81	2430	232	28	1304
82	2460	237	27	1307
83	2490	252	26	1307
84	2520	258	25	1307
85	2550	263	24	1310
86	2580	248	25	1329
87	2610	223	24	1354
88	2640	207	26	1376
