	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	3	1172	0
2	60	25	1165	15
3	90	136	1057	54
4	120	245	942	83
5	150	351	837	116
6	180	433	765	129
7	210	468	741	132
8	240	472	760	132
9	270	474	794	132
10	300	476	796	149
11	330	499	729	213
12	360	529	662	274
13	390	562	604	323
14	420	577	570	353
15	450	591	563	365
16	480	593	576	366
17	510	594	591	367
18	540	593	600	370
19	570	580	592	397
20	600	513	538	451
21	630	395	508	496
22	660	297	474	534
23	690	219	464	549
24	720	178	469	551
25	750	173	480	552
26	780	169	488	552
27	810	169	491	567
28	840	154	472	600
29	870	133	438	638
30	900	109	414	667
31	930	91	404	690
32	960	81	410	695
33	990	76	419	697
34	1020	74	436	697
35	1050	75	444	698
36	1080	74	436	727
37	1110	65	399	777
38	1140	66	380	804
39	1170	59	353	837
40	1200	52	354	843
41	1230	49	366	843
42	1260	49	383	843
43	1290	47	394	843
44	1320	48	398	856
45	1350	46	383	894
46	1380	46	352	934
47	1410	40	336	962
48	1440	40	333	976
49	1470	40	335	980
50	1500	43	343	980
51	1530	44	354	981
52	1560	43	363	983
53	1590	45	357	1005
54	1620	46	335	1034
55	1650	45	333	1050
56	1680	38	327	1067
57	1710	35	322	1078
58	1740	37	337	1081
59	1770	38	348	1081
60	1800	39	364	1081
61	1830	39	358	1097
62	1860	40	335	1129
63	1890	33	314	1163
64	1920	33	301	1185
65	1950	32	294	1199
66	1980	34	292	1203
67	2010	32	298	1203
68	2040	30	311	1203
69	2070	29	315	1203
70	2100	29	302	1226
71	2130	29	277	1257
72	2160	28	252	1289
73	2190	28	248	1301
74	2220	29	263	1304
75	2250	29	270	1306
76	2280	30	281	1306
77	2310	28	291	1306
78	2340	31	292	1313
79	2370	32	271	1348
80	2400	33	258	1368
81	2430	35	251	1384
82	2460	33	248	1393
83	2490	32	254	1397
84	2520	32	265	1397
85	2550	31	276	1397
86	2580	33	289	1398
87	2610	32	276	1419
88	2640	34	255	1441
89	2670	33	241	1461
90	2700	36	234	1475
91	2730	33	243	1477
92	2760	32	245	1477
93	2790	31	250	1477
94	2820	31	263	1477
95	2850	30	260	1490
96	2880	28	233	1521
97	2910	27	218	1542
98	2940	25	213	1558
99	2970	29	201	1568
100	3000	30	207	1570
101	3030	30	214	1570
102	3060	30	225	1570
103	3090	28	236	1572
104	3120	28	226	1590
105	3150	22	215	1612
106	3180	23	198	1632
107	3210	25	195	1637
108	3240	25	198	1640
109	3270	26	202	1640
110	3300	25	214	1642
111	3330	27	220	1642
112	3360	28	223	1649
113	3390	30	208	1667
114	3420	29	196	1684
115	3450	30	190	1692
116	3480	24	194	1697
117	3510	23	200	1698
118	3540	21	205	1698
119	3570	22	209	1698
120	3600	22	215	1699
121	3630	23	200	1722
122	3660	31	176	1745
123	3690	32	169	1755
124	3720	30	163	1766
125	3750	28	167	1767
126	3780	26	170	1768
127	3810	26	178	1768
128	3840	24	190	1768
129	3870	25	187	1776
130	3900	24	168	1798
131	3930	23	155	1814
132	3960	22	146	1824
133	3990	22	143	1830
134	4020	22	144	1830
135	4050	23	150	1830
136	4080	23	155	1830
137	4110	23	155	1833
138	4140	24	149	1844
139	4170	19	141	1851
140	4200	16	136	1862
141	4230	14	133	1869
142	4260	14	138	1870
143	4290	14	141	1870
144	4320	14	148	1870
145	4350	14	150	1870
146	4380	13	147	1877
147	4410	13	138	1888
148	4440	14	134	1894
149	4470	11	130	1901
150	4500	11	130	1908
151	4530	12	132	1909
152	4560	11	136	1909
153	4590	11	140	1909
154	4620	11	144	1909
155	4650	11	132	1923
156	4680	11	126	1931
157	4710	12	126	1934
158	4740	12	122	1943
159	4770	12	121	1945
160	4800	12	126	1945
161	4830	12	132	1945
162	4860	12	135	1945
163	4890	13	135	1954
164	4920	12	127	1969
165	4950	11	113	1984
166	4980	12	107	1993
167	5010	12	104	1999
168	5040	12	108	1999
169	5070	12	111	1999
170	5100	12	112	1999
171	5130	11	112	2004
172	5160	11	108	2012
173	5190	11	102	2021
174	5220	9	104	2026
175	5250	9	105	2030
176	5280	9	106	2032
177	5310	9	110	2033
178	5340	9	112	2033
179	5370	9	117	2034
180	5400	8	109	2046
181	5430	9	102	2062
182	5460	7	102	2068
183	5490	7	95	2075
184	5520	8	99	2076
185	5550	8	100	2077
186	5580	8	106	2077
187	5610	8	113	2077
188	5640	8	114	2080
189	5670	7	104	2097
190	5700	6	97	2107
191	5730	6	92	2113
192	5760	7	89	2116
193	5790	8	93	2116
194	5820	8	94	2116
195	5850	8	96	2116
196	5880	8	98	2117
197	5910	9	95	2126
198	5940	8	99	2130
199	5970	9	97	2136
200	6000	9	94	2143
201	6030	7	96	2144
202	6060	7	98	2144
203	6090	7	102	2144
204	6120	7	104	2144
205	6150	8	106	2146
206	6180	8	96	2160
207	6210	9	93	2163
208	6240	11	87	2170
209	6270	9	83	2175
210	6300	9	81	2178
211	6330	8	82	2179
212	6360	8	84	2179
213	6390	8	86	2179
214	6420	8	79	2189
215	6450	8	75	2197
216	6480	8	67	2205
217	6510	8	67	2207
218	6540	9	71	2207
219	6570	9	75	2207
220	6600	8	78	2207
221	6630	8	79	2207
222	6660	7	79	2210
223	6690	7	80	2214
224	6720	6	78	2217
225	6750	4	76	2221
226	6780	4	78	2224
227	6810	4	80	2227
228	6840	4	85	2227
229	6870	4	86	2227
230	6900	4	88	2228
231	6930	3	80	2237
232	6960	3	81	2240
233	6990	3	81	2244
234	7020	2	81	2247
235	7050	2	81	2247
236	7080	2	87	2247
237	7110	2	91	2247
238	7140	2	95	2247
239	7170	4	90	2253
240	7200	4	87	2260
241	7230	5	85	2267
242	7260	4	82	2273
243	7290	5	80	2276
244	7320	7	82	2277
245	7350	7	85	2277
246	7380	7	88	2277
247	7410	7	91	2277
248	7440	8	85	2283
249	7470	9	81	2288
250	7500	9	77	2294
251	7530	11	67	2303
252	7560	12	66	2304
253	7590	12	67	2304
