	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1157	3
2	60	13	1144	24
3	90	45	1039	134
4	120	78	910	261
5	150	113	824	349
6	180	131	758	420
7	210	140	744	446
8	240	140	759	455
9	270	140	793	456
10	300	142	813	458
11	330	193	775	470
12	360	270	678	515
13	390	314	617	554
14	420	353	579	577
15	450	365	565	595
16	480	368	577	604
17	510	368	597	606
18	540	368	623	607
19	570	384	630	595
20	600	447	585	508
21	630	508	525	387
22	660	539	499	312
23	690	560	488	236
24	720	565	493	206
25	750	565	507	200
26	780	565	527	199
27	810	566	541	200
28	840	596	530	195
29	870	650	493	152
30	900	701	457	127
31	930	732	431	109
32	960	744	428	94
33	990	752	430	86
34	1020	752	448	83
35	1050	752	469	82
36	1080	754	478	85
37	1110	787	467	82
38	1140	846	422	74
39	1170	877	402	68
40	1200	894	390	65
41	1230	908	384	61
42	1260	910	390	59
43	1290	910	407	56
44	1320	910	420	55
45	1350	916	435	55
46	1380	952	416	50
47	1410	994	381	41
48	1440	1023	360	39
49	1470	1043	346	37
50	1500	1046	352	37
51	1530	1047	362	39
52	1560	1047	383	41
53	1590	1048	395	41
54	1620	1059	392	36
55	1650	1095	368	31
56	1680	1134	339	32
57	1710	1160	325	29
58	1740	1171	330	29
59	1770	1173	342	31
60	1800	1173	343	32
61	1830	1174	351	33
62	1860	1176	373	33
63	1890	1199	360	34
64	1920	1233	333	34
65	1950	1263	314	34
66	1980	1288	292	35
67	2010	1299	295	37
68	2040	1300	300	35
69	2070	1300	310	31
70	2100	1300	325	31
71	2130	1304	333	31
72	2160	1338	308	30
73	2190	1363	292	30
74	2220	1382	280	29
75	2250	1394	278	28
76	2280	1403	281	28
77	2310	1403	296	26
78	2340	1404	305	25
79	2370	1404	317	27
80	2400	1411	323	26
81	2430	1445	301	23
82	2460	1473	275	24
83	2490	1491	265	20
84	2520	1504	267	19
85	2550	1507	272	20
86	2580	1509	275	20
87	2610	1509	283	21
88	2640	1510	291	22
89	2670	1531	279	22
90	2700	1570	250	24
91	2730	1589	238	31
92	2760	1602	235	33
93	2790	1610	240	33
94	2820	1615	247	32
95	2850	1616	252	33
96	2880	1616	261	31
97	2910	1618	267	31
98	2940	1641	248	32
99	2970	1662	234	32
100	3000	1678	224	31
101	3030	1693	216	30
102	3060	1694	223	28
103	3090	1695	227	30
104	3120	1696	229	29
105	3150	1696	237	29
106	3180	1701	232	30
107	3210	1721	221	26
108	3240	1750	197	22
109	3270	1766	189	19
110	3300	1775	178	23
111	3330	1778	181	23
112	3360	1778	185	22
113	3390	1778	191	22
114	3420	1780	193	22
115	3450	1790	188	21
116	3480	1807	178	19
117	3510	1820	166	20
118	3540	1831	161	20
119	3570	1838	162	21
120	3600	1838	169	23
121	3630	1838	177	23
122	3660	1838	183	23
123	3690	1839	186	21
124	3720	1849	181	23
125	3750	1864	174	20
126	3780	1884	155	20
127	3810	1893	150	17
128	3840	1894	155	17
129	3870	1894	160	16
130	3900	1894	166	16
131	3930	1894	176	16
132	3960	1897	178	15
133	3990	1910	171	17
134	4020	1931	153	17
135	4050	1948	141	18
136	4080	1959	137	18
137	4110	1961	138	16
138	4140	1962	139	14
139	4170	1962	142	14
140	4200	1962	148	14
141	4230	1969	145	12
142	4260	1975	142	11
143	4290	1992	133	11
144	4320	2000	131	11
145	4350	2007	133	11
146	4380	2010	136	12
147	4410	2011	138	12
148	4440	2011	138	12
149	4470	2011	145	12
150	4500	2019	141	11
151	4530	2035	126	10
152	4560	2044	116	10
153	4590	2047	114	11
154	4620	2050	112	14
155	4650	2050	116	14
156	4680	2050	120	15
157	4710	2050	125	15
158	4740	2051	131	15
159	4770	2067	117	14
160	4800	2081	108	13
161	4830	2090	99	13
162	4860	2093	99	13
163	4890	2095	99	13
164	4920	2097	100	13
165	4950	2097	105	13
166	4980	2097	110	13
167	5010	2102	107	12
168	5040	2113	93	14
169	5070	2122	83	14
170	5100	2126	81	13
171	5130	2129	83	11
172	5160	2129	85	10
173	5190	2130	85	9
174	5220	2130	88	9
175	5250	2131	91	9
176	5280	2135	90	10
177	5310	2141	85	12
178	5340	2151	76	12
179	5370	2152	77	12
180	5400	2156	74	12
181	5430	2157	77	12
182	5460	2157	81	13
183	5490	2157	87	13
184	5520	2157	88	13
185	5550	2164	84	12
186	5580	2170	80	9
187	5610	2173	77	9
188	5640	2176	76	10
189	5670	2177	77	10
190	5700	2177	82	10
191	5730	2177	82	12
192	5760	2177	82	12
193	5790	2178	84	12
194	5820	2182	83	10
195	5850	2188	79	8
196	5880	2196	73	8
197	5910	2202	68	7
198	5940	2202	69	7
199	5970	2203	70	6
200	6000	2203	71	6
201	6030	2203	73	6
202	6060	2204	78	6
203	6090	2212	74	4
204	6120	2213	74	5
205	6150	2214	74	5
206	6180	2219	70	5
207	6210	2220	71	6
208	6240	2220	74	5
209	6270	2220	79	4
210	6300	2222	79	4
211	6330	2226	77	4
212	6360	2235	70	4
213	6390	2239	69	4
214	6420	2243	68	7
215	6450	2248	64	7
216	6480	2248	65	7
217	6510	2248	69	7
218	6540	2248	70	7
219	6570	2249	70	7
220	6600	2254	66	8
221	6630	2260	61	6
222	6660	2263	59	6
223	6690	2266	60	6
224	6720	2267	61	5
225	6750	2267	61	5
226	6780	2267	62	5
227	6810	2267	65	5
228	6840	2270	64	6
229	6870	2276	60	6
230	6900	2284	54	6
231	6930	2286	51	6
232	6960	2288	50	6
233	6990	2288	50	6
234	7020	2288	53	6
235	7050	2288	54	6
236	7080	2288	55	7
237	7110	2294	52	6
238	7140	2300	45	7
239	7170	2303	44	7
240	7200	2305	43	7
241	7230	2306	44	7
242	7260	2306	49	7
243	7290	2306	51	7
244	7320	2306	51	7
245	7350	2307	53	7
246	7380	2312	49	7
247	7410	2317	46	7
248	7440	2321	43	7
249	7470	2322	44	6
250	7500	2322	45	6
251	7530	2322	45	6
252	7560	2322	48	6
253	7590	2322	51	5
254	7620	2325	48	5
255	7650	2331	43	4
256	7680	2335	41	3
257	7710	2340	37	3
258	7740	2342	38	3
259	7770	2342	37	4
260	7800	2342	38	4
261	7830	2342	39	4
262	7860	2342	40	3
263	7890	2345	37	3
264	7920	2348	33	4
265	7950	2349	33	2
266	7980	2350	34	3
