	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1164	1	4
2	60	1166	15	21
3	90	1070	47	114
4	120	945	78	235
5	150	857	102	323
6	180	783	120	406
7	210	761	125	438
8	240	775	125	447
9	270	799	125	452
10	300	816	130	453
11	330	776	178	462
12	360	689	260	490
13	390	621	314	524
14	420	595	339	553
15	450	594	356	563
16	480	603	358	568
17	510	628	358	569
18	540	637	358	568
19	570	630	377	561
20	600	583	438	492
21	630	511	504	388
22	660	474	548	300
23	690	456	573	221
24	720	455	581	183
25	750	466	583	174
26	780	473	583	170
27	810	491	584	170
28	840	476	610	168
29	870	431	660	150
30	900	404	694	126
31	930	381	718	103
32	960	375	734	93
33	990	389	735	91
34	1020	409	735	89
35	1050	417	735	89
36	1080	427	738	87
37	1110	419	761	82
38	1140	389	797	71
39	1170	366	829	59
40	1200	362	846	58
41	1230	361	859	53
42	1260	373	861	52
43	1290	380	861	52
44	1320	388	861	53
45	1350	395	865	51
46	1380	377	895	45
47	1410	360	924	38
48	1440	342	949	31
49	1470	332	968	32
50	1500	333	974	32
51	1530	346	974	33
52	1560	355	974	33
53	1590	365	974	32
54	1620	366	986	32
55	1650	339	1024	30
56	1680	308	1060	34
57	1710	307	1073	32
58	1740	305	1087	35
59	1770	317	1088	36
60	1800	326	1089	35
61	1830	339	1089	34
62	1860	350	1090	34
63	1890	344	1113	33
64	1920	321	1144	34
65	1950	298	1172	34
66	1980	290	1186	33
67	2010	281	1196	35
68	2040	288	1196	35
69	2070	305	1196	35
70	2100	310	1196	36
71	2130	323	1197	37
72	2160	303	1229	40
73	2190	270	1267	38
74	2220	262	1283	37
75	2250	263	1291	35
76	2280	269	1295	33
77	2310	273	1297	35
78	2340	287	1298	34
79	2370	297	1298	35
80	2400	294	1312	35
81	2430	273	1338	34
82	2460	249	1362	33
83	2490	249	1375	34
84	2520	254	1383	31
85	2550	258	1386	29
86	2580	271	1386	29
87	2610	283	1386	29
88	2640	297	1387	30
89	2670	298	1405	27
90	2700	276	1434	24
91	2730	260	1456	26
92	2760	244	1477	28
93	2790	242	1485	30
94	2820	246	1489	27
95	2850	249	1489	28
96	2880	255	1489	28
97	2910	263	1490	28
98	2940	247	1513	26
99	2970	229	1540	25
100	3000	213	1560	24
101	3030	198	1577	26
102	3060	197	1581	26
103	3090	202	1581	26
104	3120	208	1582	27
105	3150	217	1582	25
106	3180	223	1586	25
107	3210	208	1609	23
108	3240	205	1623	19
109	3270	194	1638	16
110	3300	199	1641	14
111	3330	205	1643	15
112	3360	209	1645	14
113	3390	216	1645	13
114	3420	222	1648	14
115	3450	222	1661	14
116	3480	206	1681	18
117	3510	187	1703	17
118	3540	181	1712	17
119	3570	181	1721	15
120	3600	182	1722	15
121	3630	191	1722	15
122	3660	196	1722	16
123	3690	203	1722	16
124	3720	188	1742	16
125	3750	174	1761	19
126	3780	162	1776	22
127	3810	164	1778	23
128	3840	162	1783	23
129	3870	166	1784	23
130	3900	169	1784	24
131	3930	172	1784	24
132	3960	174	1789	24
133	3990	162	1805	23
134	4020	162	1816	18
135	4050	155	1830	16
136	4080	151	1838	18
137	4110	155	1839	17
138	4140	163	1839	16
139	4170	173	1839	15
140	4200	183	1839	15
141	4230	185	1847	17
142	4260	174	1865	16
143	4290	155	1885	17
144	4320	143	1896	17
145	4350	144	1898	16
146	4380	142	1899	18
147	4410	143	1899	19
148	4440	148	1899	18
149	4470	151	1901	18
150	4500	148	1907	18
151	4530	143	1919	19
152	4560	133	1931	20
153	4590	128	1937	21
154	4620	124	1943	21
155	4650	126	1943	21
156	4680	132	1943	21
157	4710	135	1943	21
158	4740	137	1946	19
159	4770	128	1956	20
160	4800	122	1966	17
161	4830	107	1979	18
