	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1165	6
2	60	15	1168	32
3	90	44	1072	123
4	120	74	943	253
5	150	109	832	358
6	180	127	759	442
7	210	134	737	479
8	240	134	756	484
9	270	134	769	484
10	300	142	782	486
11	330	190	741	505
12	360	263	657	538
13	390	318	579	578
14	420	349	527	609
15	450	353	536	630
16	480	356	552	632
17	510	357	578	633
18	540	357	596	631
19	570	366	617	609
20	600	415	587	548
21	630	466	552	424
22	660	512	520	326
23	690	529	502	249
24	720	533	508	208
25	750	533	526	202
26	780	533	548	203
27	810	534	556	202
28	840	561	539	191
29	870	621	489	164
30	900	658	457	135
31	930	685	440	112
32	960	704	433	92
33	990	708	445	87
34	1020	710	456	87
35	1050	710	474	87
36	1080	711	489	85
37	1110	738	477	84
38	1140	789	428	80
39	1170	821	405	74
40	1200	847	390	63
41	1230	855	389	59
42	1260	858	389	58
43	1290	858	397	58
44	1320	858	408	57
45	1350	869	405	55
46	1380	910	367	57
47	1410	965	324	51
48	1440	992	307	48
49	1470	1009	295	47
50	1500	1016	299	48
51	1530	1018	306	50
52	1560	1019	328	49
53	1590	1020	339	49
54	1620	1029	340	50
55	1650	1069	301	50
56	1680	1102	276	45
57	1710	1123	261	47
58	1740	1131	256	47
59	1770	1134	256	45
60	1800	1135	264	45
61	1830	1135	272	45
62	1860	1136	281	45
63	1890	1159	265	42
64	1920	1191	235	41
65	1950	1209	223	38
66	1980	1217	214	40
67	2010	1227	214	38
68	2040	1227	218	38
69	2070	1227	222	37
70	2100	1227	229	37
71	2130	1229	233	38
72	2160	1252	212	36
73	2190	1277	192	28
74	2220	1286	193	25
75	2250	1298	188	23
76	2280	1300	190	23
77	2310	1303	189	23
78	2340	1303	197	24
79	2370	1303	204	24
80	2400	1308	203	23
81	2430	1329	188	20
82	2460	1348	175	20
83	2490	1364	162	20
84	2520	1373	159	20
85	2550	1376	161	18
86	2580	1376	166	19
87	2610	1376	170	19
88	2640	1377	174	18
89	2670	1389	164	19
90	2700	1408	147	20
91	2730	1419	140	21
92	2760	1430	130	21
93	2790	1435	128	20
94	2820	1436	131	20
95	2850	1436	139	19
96	2880	1436	145	19
97	2910	1436	146	18
98	2940	1450	132	18
99	2970	1457	127	17
100	3000	1475	117	16
101	3030	1483	112	10
102	3060	1488	107	11
103	3090	1488	112	11
104	3120	1488	119	11
105	3150	1488	128	11
106	3180	1494	129	8
107	3210	1504	123	8
108	3240	1516	116	7
109	3270	1524	114	8
110	3300	1531	108	7
111	3330	1531	108	9
112	3360	1531	112	9
113	3390	1531	118	9
114	3420	1532	119	11
115	3450	1543	114	10
116	3480	1560	98	12
117	3510	1572	91	12
118	3540	1575	91	12
119	3570	1578	92	11
120	3600	1579	94	10
121	3630	1579	99	10
122	3660	1579	103	10
123	3690	1580	103	10
124	3720	1590	96	10
125	3750	1597	92	11
126	3780	1604	91	12
127	3810	1610	85	12
128	3840	1611	87	11
129	3870	1612	86	12
130	3900	1612	88	12
131	3930	1612	92	10
132	3960	1615	90	10
133	3990	1623	82	8
134	4020	1632	74	8
135	4050	1641	65	8
136	4080	1643	68	8
137	4110	1643	69	8
138	4140	1643	73	8
139	4170	1643	74	9
140	4200	1643	78	9
141	4230	1645	77	9
142	4260	1652	75	9
143	4290	1658	74	8
144	4320	1664	71	7
145	4350	1665	72	6
146	4380	1667	71	6
147	4410	1667	73	6
148	4440	1667	73	6
149	4470	1667	74	6
150	4500	1675	68	6
151	4530	1682	62	5
152	4560	1684	63	5
153	4590	1687	63	5
154	4620	1688	64	5
155	4650	1688	66	5
156	4680	1688	70	4
157	4710	1690	72	4
158	4740	1690	77	4
159	4770	1690	80	3
160	4800	1696	73	4
161	4830	1703	67	3
162	4860	1704	69	3
163	4890	1705	69	4
164	4920	1705	71	4
165	4950	1705	77	4
166	4980	1705	81	4
167	5010	1705	84	4
168	5040	1708	83	5
169	5070	1716	79	5
170	5100	1718	78	5
171	5130	1720	78	5
172	5160	1720	81	5
173	5190	1721	81	6
174	5220	1721	83	6
175	5250	1721	84	6
176	5280	1724	84	6
177	5310	1730	80	7
178	5340	1733	84	7
179	5370	1737	82	7
180	5400	1739	82	7
181	5430	1739	84	5
182	5460	1739	90	5
183	5490	1739	96	5
184	5520	1740	96	5
185	5550	1747	92	4
186	5580	1755	84	6
187	5610	1761	83	7
188	5640	1766	80	9
189	5670	1769	80	9
190	5700	1769	85	8
191	5730	1769	88	8
192	5760	1769	89	8
193	5790	1772	89	9
194	5820	1778	84	9
195	5850	1787	78	8
196	5880	1793	75	9
197	5910	1796	72	10
198	5940	1797	75	9
199	5970	1797	78	9
200	6000	1797	82	9
201	6030	1797	85	9
202	6060	1799	87	9
203	6090	1814	73	9
204	6120	1821	71	8
205	6150	1824	68	8
206	6180	1827	67	6
207	6210	1828	68	6
208	6240	1828	70	6
209	6270	1828	71	7
210	6300	1828	73	6
211	6330	1834	69	6
212	6360	1840	69	6
213	6390	1842	68	5
214	6420	1846	66	4
215	6450	1846	70	4
216	6480	1846	71	4
217	6510	1846	72	4
218	6540	1846	74	4
219	6570	1847	73	5
220	6600	1857	66	4
221	6630	1866	58	4
222	6660	1869	54	6
223	6690	1873	54	6
224	6720	1874	51	9
225	6750	1874	54	9
226	6780	1874	53	10
227	6810	1875	55	11
228	6840	1876	56	10
229	6870	1879	58	10
230	6900	1884	57	10
231	6930	1887	54	11
232	6960	1889	54	12
233	6990	1889	58	12
234	7020	1889	59	12
235	7050	1889	61	12
236	7080	1889	62	11
237	7110	1893	59	11
238	7140	1898	56	12
239	7170	1901	57	10
240	7200	1905	57	10
241	7230	1907	57	7
242	7260	1907	62	7
243	7290	1907	63	5
244	7320	1907	67	4
245	7350	1907	68	4
246	7380	1915	64	4
247	7410	1920	62	5
248	7440	1924	60	4
249	7470	1930	54	4
250	7500	1931	57	4
251	7530	1931	57	4
252	7560	1931	58	4
253	7590	1931	59	4
254	7620	1933	58	4
255	7650	1940	51	4
256	7680	1944	47	6
257	7710	1946	47	6
258	7740	1949	45	6
259	7770	1949	48	6
260	7800	1949	49	6
261	7830	1949	52	6
262	7860	1949	55	6
263	7890	1950	56	6
264	7920	1954	52	6
265	7950	1958	52	5
266	7980	1961	50	6
